page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/joint-support-horses_c1691_f50v13679,True,Update H1 templates to reflect the primary page intent.,horse soreness relief,JOINT SUPPORT FOR HORSES | CHEWY,32,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse soreness relief,Joint Support For Horses,1,joint-support-horses,True,True,False,False,True,False,False,False,36,345,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/liquid-probiotics-cats_c1577_f83v20482,True,Update H1 templates to reflect the primary page intent.,digestive health and probiotic liquid and gel supplements for cats,LIQUID PROBIOTICS FOR CATS (Free Shipping) | Chewy,50,"Shop Chewy for the best deals on Liquid Probiotics for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Liquid Probiotics for Cats for your pet.",233,digestive health and probiotic liquid and gel supplements for cats,Liquid Probiotics for Cats,1,liquid-probiotics-cats,True,True,False,False,True,False,False,False,5,346,2,,,,,,,2,2,2.0,2,0,0,0,3.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/injectable-allergy-medicine-dogs_c11568_f83v383900,True,Update H1 templates to reflect the primary page intent.,cytopoint chewy,INJECTABLE ALLERGY MEDICINE FOR DOGS (Free Shipping) | Chewy,60,"Shop Chewy for the best deals on Injectable Allergy Medicine for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Injectable Allergy Medicine for Dogs for your pet.",253,cytopoint chewy,Injectable Allergy Medicine for Dogs,1,injectable-allergy-medicine-dogs,True,True,False,False,True,False,False,False,4,318,2,,,,,,,2,2,4.5,2,0,0,0,11.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/tortoise-terrariums-habitats_c1036_f57v68273,True,Update H1 templates to reflect the primary page intent.,russian tortoise enclosure,TORTOISE TERRARIUMS & HABITATS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Tortoise Terrariums & Habitats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Tortoise Terrariums & Habitats for your pet.",241,russian tortoise enclosure,Tortoise Terrariums & Habitats,1,tortoise-terrariums-habitats,True,True,False,False,True,False,False,True,56,366,2,,,,,,,6,6,6.8,4,1,0,1,13.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/40-gallon-fish-tanks_c1735_f739v966790,True,Update H1 templates to reflect the primary page intent.,40 gallon saltwater aquarium,40 GALLON FISH TANKS & UNDER (Free Shipping) | Chewy,52,"Shop Chewy for the best deals on 31-40 Gallon Fish Tanks and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right 31-40 Gallon Fish Tanks & Under for your pet.",235,40 gallon saltwater aquarium,40 Gallon Fish Tanks,1,40-gallon-fish-tanks,True,True,False,False,True,False,False,True,14,327,2,,,,,,,3,3,17.33,0,3,0,0,9.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/incandescent-heating-lighting_c1047_f68v85073,True,Update H1 templates to reflect the primary page intent.,snake heat lamp and bulbs,INCANDESCENT HEATING & LIGHTING REPTILES (Free Shipping) | Chewy,64,"Shop Chewy for the best deals on Incandescent Heating & Lighting Reptiles and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Incandescent Heating & Lighting Reptiles for your pet.",261,snake heat lamp and bulbs,Incandescent Heating & Lighting Reptiles,1,incandescent-heating-lighting,True,True,False,False,True,False,False,False,48,356,2,,,,,,,2,2,,0,0,0,2,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/puppy-clothes_c1470_f6v13790,True,Update H1 templates to reflect the primary page intent.,best extra small breed puppy apparel,PUPPY CLOTHES (Free Shipping) | Chewy,37,"Browse puppy clothes at Chewy, including puppy outfits and cute puppy clothes for walks, photos, celebrations, layering, and everyday comfort.",142,best extra small breed puppy apparel,Puppy Clothes,1,puppy-clothes,True,True,False,False,True,False,False,True,368,455,2,,,,,,,2,2,20.0,0,1,0,1,2.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/giant-dog-clothing-accessories_c1470_f6v13793,True,Update H1 templates to reflect the primary page intent.,clothes for giant dogs,CLOTHING & ACCESSORIES FOR BIG DOGS | CHEWY,43,"Explore clothing and accessories for big dogs, including XL dog clothes, shirts, coats, and seasonal styles sized for extra-large and giant breeds.",147,clothes for giant dogs,Clothing & Accessories for Big Dogs,1,giant-dog-clothing-accessories,True,True,False,False,True,False,False,True,546,443,2,,,,,,,9,9,6.22,7,2,0,0,4.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/kansas-city-chiefs-dog-jerseys_c1470_f47v235760,True,Update H1 templates to reflect the primary page intent.,kansas city chiefs pet gear,KANSAS CITY CHIEFS DOG JERSEYS (Free Shipping) | Chewy,54,"Shop Chewy for the best deals on Chiefs Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Chiefs Dog Jerseys for your pet.",217,kansas city chiefs pet gear,Chiefs Dog Jerseys,1,kansas-city-chiefs-dog-jerseys,True,True,False,False,True,False,False,False,378,457,2,,,,,,,4,4,4.5,4,0,0,0,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/san-francisco-49ers-dog-jerseys_c1470_f47v85593,True,Update H1 templates to reflect the primary page intent.,san francisco 49ers dog tops,SAN FRANCISCO 49ERS DOG JERSEYS (Free Shipping) | Chewy,55,"""Shop Chewy for the best deals on 49Ers Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right 49Ers Dog Jerseys for your pet.""",217,san francisco 49ers dog tops,49Ers Dog Jerseys,1,san-francisco-49ers-dog-jerseys,True,True,False,False,True,False,False,False,378,451,2,,,,,,,4,4,2.5,4,0,0,0,3.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/cincinnati-bengals-dog-jerseys_c1470_f47v235754,True,Update H1 templates to reflect the primary page intent.,cincinnati bengals pet gear,CINCINNATI BENGALS DOG JERSEYS (Free Shipping) | Chewy,54,"""Shop Chewy for the best deals on Bengals Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Bengals Dog Jerseys for your pet.""",221,cincinnati bengals pet gear,Bengals Dog Jerseys,1,cincinnati-bengals-dog-jerseys,True,True,False,False,True,False,False,False,378,448,2,,,,,,,3,3,3.0,3,0,0,0,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/carolina-panthers-dog-jerseys_c1470_f47v235752,True,Update H1 templates to reflect the primary page intent.,carolina panthers pet gear,CAROLINA PANTHERS DOG JERSEYS (Free Shipping) | Chewy,53,"""Shop Chewy for the best deals on Panthers Dog Jerseys and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Panthers Dog Jerseys for your pet.""",223,carolina panthers pet gear,Panthers Dog Jerseys,1,carolina-panthers-dog-jerseys,True,True,False,False,True,False,False,False,378,441,2,,,,,,,3,3,4.0,2,0,0,1,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/incontinence-treatment-dogs_c11588_f87v380690,True,Update H1 templates to reflect the primary page intent.,incontinence pet pharmacy medications,INCONTINENCE TREATMENT FOR DOGS (Free Shipping) | Chewy,55,"Shop Chewy for the best deals on Incontinence Treatment for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Incontinence Treatment for Dogs for your pet.",243,incontinence pet pharmacy medications,Incontinence Treatment for Dogs,1,incontinence-treatment-dogs,True,True,False,False,True,False,False,False,4,321,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/dry-eye-drops-dogs_c11570_f87v380670,True,Update H1 templates to reflect the primary page intent.,dry eye pet pharmacy medications,DRY EYE DROPS FOR DOGS (Free Shipping) | Chewy,46,"Shop Chewy for the best deals on Dry Eye Drops for Dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Dry Eye Drops for Dogs for your pet.",225,dry eye pet pharmacy medications,Dry Eye Drops for Dogs,1,dry-eye-drops-dogs,True,True,False,False,True,False,False,False,4,321,2,,,,,,,1,1,,0,0,0,1,4.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/diabetic-support-dog-food_c332_f50v308396,True,Update H1 templates to reflect the primary page intent.,deals on veterinary diet wet dog food for diabetic support,DIABETIC SUPPORT DOG FOOD (Free Shipping) | Chewy,49,"Shop Chewy for the best deals on Diabetic Support Dog Food and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Diabetic Support Dog Food for your pet.",231,deals on veterinary diet wet dog food for diabetic support,Diabetic Support Dog Food,1,diabetic-support-dog-food,True,True,False,False,True,False,False,False,1377,403,2,,,,,,,2,2,29.0,0,0,1,1,1.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/water-toys-dogs_c315_f58v70046,True,Update H1 templates to reflect the primary page intent.,deals on aquatic dog toys,WATER TOYS FOR DOGS (Free Shipping) | Chewy,43,"Shop Chewy for the best deals on water toys for dogs and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right water toys for dogs for your pet.",219,deals on aquatic dog toys,Water Toys for Dogs,1,water-toys-dogs,True,True,False,False,True,False,False,False,1289,394,2,,,,,,,3,3,,0,0,0,3,2.0
HVF,H1,H1 does not align to main keyword or topic,https://www.chewy.com/f/hyperthyroidism-medication-cats_c11589_f87v380688,True,Update H1 templates to reflect the primary page intent.,hyperthyroidism pet pharmacy,HYPERTHYROIDISM MEDICATION FOR CATS (Free Shipping) | Chewy,59,"Shop Chewy for the best deals on Hyperthyroidism Medication for Cats and more with fast free shipping, low prices, and award-winning customer service. Read ratings and reviews so you can find the right Hyperthyroidism Medication for Cats for your pet.",251,hyperthyroidism pet pharmacy,Hyperthyroidism Medication for Cats,1,hyperthyroidism-medication-cats,True,True,False,False,True,False,False,True,30,329,2,,,,,,,1,1,7.0,1,0,0,0,1.0
