page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/exclusively-dog-best-buddy-bones/dp/47079,False,"Review lost terms for relevance, indexability, and SERP intent fit.",1,,,,,chewy exclusive dog treats,,,,,,,,,,,,,,,,,,,,,1,1,,0,0,0,1,
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/dog-whisperer-training-chicken/dp/632878,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"DOG WHISPERER Training Chicken Flavored Chewy Dog Treats, 12-oz bag - Chewy.com",79,"Buy Dog Whisperer Training Chicken Flavored Chewy Dog Treats, 12-oz bag at Chewy.com. FREE shipping and the BEST customer service!",130,chewy exclusive dog training treats,"Dog Whisperer Training Chicken Flavored Chewy Dog Treats, 12-oz bag",1,dog-whisperer-training-chicken,True,True,False,False,True,True,True,False,55,326,4,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-egift-card/dp/226305,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Chewy Pet Lovers, $25",1,chewy-egift-card,True,True,False,False,True,True,True,True,22,328,2,needs,2679.0,good,0.03,,,5,5,5.33,2,1,0,2,4.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-egift-card/dp/541878,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,how to cards on chewy,"Chewy eGift Card, Number One Dad, $150",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,9,8,12.5,3,1,2,3,6.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-egift-card/dp/288421,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift card,"Chewy eGift Card, Congrats New Bestie Cat, $100",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,7,6,6.8,4,1,0,2,3.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-egift-card/dp/283558,True,"Review lost terms for relevance, indexability, and SERP intent fit.",3,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Purr-fect Gift, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,23,328,2,,,,,,,5,5,10.5,1,1,0,3,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-egift-card/dp/283557,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,can i get free shipping for donating a chewy egift card?,"Chewy eGift Card, Purr-fect Gift, $25",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,4,4,4.0,2,0,0,2,3.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-egift-card/dp/283560,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Purr-fect Gift, $100",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,3,3,23.0,0,0,1,2,3.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/rocco-roxie-supply-co-gourmet-beef/dp/116996,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"ROCCO & ROXIE SUPPLY CO. Gourmet Beef Jerky Dog Sticks, 16-oz bag - Chewy.com",77,"Buy Rocco & Roxie Supply Co. Gourmet Beef Jerky Dog Sticks, 16-oz bag at Chewy.com. FREE shipping and the BEST customer service!",128,chewy exclusive jerky dog treats,"Rocco & Roxie Supply Co. Gourmet Beef Jerky Dog Sticks, 16-oz bag",1,rocco-roxie-supply-co-gourmet-beef,True,True,False,False,True,True,True,True,57,327,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/blue-buffalo-nudges-jerky-cuts-beef/dp/1040750,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"BLUE BUFFALO Nudges Jerky Cuts Beef Dog Treats, 16-oz bag - Chewy.com",69,"Buy Blue Buffalo Nudges Jerky Cuts Beef Dog Treats, 16-oz bag at Chewy.com. FREE shipping and the BEST customer service!",120,chewy exclusive jerky dog treats,"Blue Buffalo Nudges Jerky Cuts Beef Dog Treats, 16-oz bag",1,blue-buffalo-nudges-jerky-cuts-beef,True,True,False,False,True,True,True,False,126,332,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/hare-dog-100-rabbit-jerky-dog-treats/dp/115854,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"HARE OF THE DOG 100% Rabbit Jerky Dog Treats, 3.5-oz bag - Chewy.com",68,"Buy Hare of the Dog 100% Rabbit Jerky Dog Treats, 3.5-oz bag at Chewy.com. FREE shipping and the BEST customer service!",119,chewy exclusive jerky dog treats,"Hare of the Dog 100% Rabbit Jerky Dog Treats, 3.5-oz bag",1,hare-dog-100-rabbit-jerky-dog-treats,True,True,False,False,True,True,True,True,130,329,2,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/stella-chewys-beef-wild-weenies/dp/177115,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,"STELLA & CHEWY'S Beef Wild Weenies Freeze-Dried Raw Dog Treats, 11.5-oz bag - Chewy.com",87,"Buy Stella & Chewy's Beef Wild Weenies Freeze-Dried Raw Dog Treats, 11.5-oz bag at Chewy.com. FREE shipping and the BEST customer service!",138,stella and chewy’s wild weenies,"Stella & Chewy's Beef Wild Weenies Freeze-Dried Raw Dog Treats, 11.5-oz bag",1,stella-chewys-beef-wild-weenies,True,True,False,False,True,True,True,True,103,338,3,,,,,,,3,3,8.0,1,0,0,2,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/stella-chewys-chicken-hearts-freeze/dp/203215,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"STELLA & CHEWY'S Chicken Hearts Freeze-Dried Raw Dog Treats, 3-oz bag - Chewy.com",81,"Buy Stella & Chewy's Chicken Hearts Freeze-Dried Raw Dog Treats, 3-oz bag at Chewy.com. FREE shipping and the BEST customer service!",132,chewy exclusive freeze-dried and dehydrated dog treats,"Stella & Chewy's Chicken Hearts Freeze-Dried Raw Dog Treats, 3-oz bag",1,stella-chewys-chicken-hearts-freeze,True,True,False,False,True,True,True,True,62,329,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/beloved-pets-natural-rawhide-free/dp/3968270,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"BELOVED PETS Natural Rawhide-Free Training Puppy Snacks Sweet Potato & Soft Bones Duck Flavor Grain-Free Jerky Dog Treats, 10.6-oz pouch - Chewy.com",148,"Buy Beloved Pets Natural Rawhide-Free Training Puppy Snacks Sweet Potato & Soft Bones Duck Flavor Grain-Free Jerky Dog Treats, 10.6-oz pouch at Chewy.com. FREE shipping and the BEST customer service!",199,chewy exclusive rawhide-free dog treats,"Beloved Pets Natural Rawhide-Free Training Puppy Snacks Sweet Potato & Soft Bones Duck Flavor Grain-Free Jerky Dog Treats, 10.6-oz pouch",1,beloved-pets-natural-rawhide-free,True,True,False,False,True,True,True,False,16,317,4,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/country-kitchen-chicken-rawhide-free/dp/925998,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"COUNTRY KITCHEN Chicken Rawhide-Free Dog Chew Treats, Medium, 3 count - Chewy.com",81,"Buy Country Kitchen Chicken Rawhide-Free Dog Chew Treats, Medium, 3 count at Chewy.com. FREE shipping and the BEST customer service!",132,chewy exclusive rawhide-free dog treats,"Country Kitchen Chicken Rawhide-Free Dog Chew Treats, Medium, 3 count",1,country-kitchen-chicken-rawhide-free,True,True,False,False,True,True,True,False,36,317,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/v-dog-breathbones-rawhide-free/dp/220528,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"V-DOG Breathbones Rawhide-Free Regular Dental Dog Treats, 6 count - Chewy.com",77,"Buy V-Dog Breathbones Rawhide-Free Regular Dental Dog Treats, 6 count at Chewy.com. FREE shipping and the BEST customer service!",128,chewy exclusive rawhide-free dog treats,"V-Dog Breathbones Rawhide-Free Regular Dental Dog Treats, 6 count",1,v-dog-breathbones-rawhide-free,True,True,False,False,True,True,True,True,102,328,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chewy-all-natural-dental-sticks/dp/2195310,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"CHEWY MADE Natural Original Flavor Dental Chew Dog Treats (FORMERLY TRUE ACRE FOODS), 64 count bundle - Chewy.com",113,"Buy Chewy Made Natural Original Flavor Dental Chew Dog Treats (FORMERLY TRUE ACRE FOODS), 64 count bundle at Chewy.com. FREE shipping and the BEST customer service!",164,chewy exclusive dog dental treats,"Chewy Made Natural Original Flavor Dental Chew Dog Treats (FORMERLY TRUE ACRE FOODS), 64 count bundle",1,chewy-all-natural-dental-sticks,True,False,False,False,True,True,True,True,8,325,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/american-kennel-club-akc-box-weave/dp/142503,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"AMERICAN KENNEL CLUB AKC Box Weave Design Bolster Cat & Dog Bed, Black - Chewy.com",82,"Buy American Kennel Club AKC Box Weave Design Bolster Cat & Dog Bed, Black at Chewy.com. FREE shipping and the BEST customer service!",133,american kennel club cat beds,"American Kennel Club AKC Box Weave Design Bolster Cat & Dog Bed, Black",1,american-kennel-club-akc-box-weave,True,True,False,False,True,True,True,True,57,318,3,,,,,,,1,1,,0,0,0,1,1.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/tiki-cat-born-carnivore-hairball/dp/1653862,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"TIKI CAT Born Carnivore Hairball Control Chicken Grain-Free Dry Cat Food, 3-lb bag - Chewy.com",94,"Buy Tiki Cat Born Carnivore Hairball Control Chicken Grain-Free Dry Cat Food, 3-lb bag at Chewy.com. FREE shipping and the BEST customer service!",145,grain free cat hairball control,"Tiki Cat Born Carnivore Hairball Control Chicken Grain-Free Dry Cat Food, 3-lb bag",1,tiki-cat-born-carnivore-hairball,True,True,False,False,True,True,True,True,54,330,4,,,,,,,1,1,,0,0,0,1,3.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/frisco-335-in-sisal-cat-scratching/dp/190457,True,"Review lost terms for relevance, indexability, and SERP intent fit.",2,"FRISCO 33-in Heavy Duty Sisal Cat Scratching Post, Gray - Chewy.com",67,"Buy Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Gray at Chewy.com. FREE shipping and the BEST customer service!",118,frisco cat scratchers,"Frisco 33-in Heavy Duty Sisal Cat Scratching Post, Gray",1,frisco-335-in-sisal-cat-scratching,False,False,False,False,True,True,True,True,0,321,5,,,,,,,3,3,1.0,1,0,0,2,
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/chicken-soup-soul-mature-chicken/dp/191822,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"CHICKEN SOUP FOR THE SOUL Senior Chicken, Brown Rice & Turkey Recipe Dry Dog Food, 28-lb bag - Chewy.com",104,"Buy Chicken Soup for the Soul Senior Chicken, Brown Rice & Turkey Recipe Dry Dog Food, 28-lb bag at Chewy.com. FREE shipping and the BEST customer service!",155,chicken soup for the soul dry dog food,"Chicken Soup for the Soul Senior Chicken, Brown Rice & Turkey Recipe Dry Dog Food, 28-lb bag",1,chicken-soup-soul-mature-chicken,True,True,False,False,True,True,True,True,49,332,3,,,,,,,2,2,8.0,1,0,0,1,2.0
PDP,Ranking Keywords,Has lost or unranked keywords,https://www.chewy.com/buckle-down-cartoon-network-adventure/dp/1295062,True,"Review lost terms for relevance, indexability, and SERP intent fit.",1,"BUCKLE-DOWN Cartoon Network Adventure Time Marceline's Axe Bass Guitar Scattered Gray Plastic Buckle Polyester Dog Collar, Wide Medium: 16 to 23-in neck, 1.5-in wide - Chewy.com",177,"Buy Buckle-Down Cartoon Network Adventure Time Marceline's Axe Bass Guitar Scattered Gray Plastic Buckle Polyester Dog Collar, Wide Medium: 16 to 23-in neck, 1.5-in wide at Chewy.com. FREE shipping and the BEST customer service!",228,nickelodeon dog collars,"Buckle-Down Cartoon Network Adventure Time Marceline's Axe Bass Guitar Scattered Gray Plastic Buckle Polyester Dog Collar, Wide Medium: 16 to 23-in neck, 1.5-in wide",1,buckle-down-cartoon-network-adventure,True,True,False,False,True,True,True,False,13,326,6,,,,,,,1,1,,0,0,0,1,1.0
