page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Links,No unique inlinks,https://www.chewy.com/brands/petlabco-15522,True,Add discoverable internal links from relevant crawl paths.,0,PetLabCo. - Free shipping | Chewy,33,Shop Chewy for low prices and the best PetLabCo. products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,petlab co.,PetLabCo.,1,petlabco,False,False,False,False,True,False,False,True,0,341,3,,,,,,,1,1,8.0,1,0,0,0,
Brand,Links,No unique inlinks,https://www.chewy.com/brands/cavalor-3947958,True,Add discoverable internal links from relevant crawl paths.,0,Cavalor - Free shipping | Chewy,31,Shop Chewy for low prices and the best Cavalor products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,,Cavalor,1,cavalor,True,True,False,False,True,False,False,False,0,340,3,,,,,,,,,,,,,,1.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/dinkins-aquatic-gardens-4333638,True,Add discoverable internal links from relevant crawl paths.,0,Dinkins Aquatic Gardens - Free shipping | Chewy,47,Shop Chewy for low prices and the best Dinkins Aquatic Gardens! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,240,,Dinkins Aquatic Gardens,1,dinkins-aquatic-gardens,True,True,False,False,True,False,False,False,0,307,4,,,,,,,,,,,,,,1.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/aquatop-4333630,True,Add discoverable internal links from relevant crawl paths.,0,Aquatop - Free shipping | Chewy,31,Shop Chewy for low prices and the best Aquatop products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,233,aquatop,Aquatop,1,aquatop,True,True,False,False,True,False,False,False,0,340,4,,,,,,,1,1,22.0,0,0,1,0,1.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/snake-discovery-3394982,True,Add discoverable internal links from relevant crawl paths.,0,Snake Discovery - Free shipping | Chewy,39,Shop Chewy for low prices and the best Snake Discovery! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Snake Discovery,1,snake-discovery,True,True,False,False,True,False,False,False,0,319,4,,,,,,,,,,,,,,4.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/arcadia-reptile-4302654,True,Add discoverable internal links from relevant crawl paths.,0,Arcadia Reptile - Free shipping | Chewy,39,Shop Chewy for low prices and the best Arcadia Reptile! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Arcadia Reptile,1,arcadia-reptile,True,True,False,False,True,False,False,False,0,352,4,,,,,,,,,,,,,,2.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/cs-2953950,True,Add discoverable internal links from relevant crawl paths.,0,C&S - Free shipping | Chewy,27,Shop Chewy for low prices and the best C&S products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,229,,C&S,1,cs,True,True,False,False,True,False,False,False,0,340,4,,,,,,,,,,,,,,1.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/pawstruck-167446,True,Add discoverable internal links from relevant crawl paths.,0,"Pawstruck Treats, Food & Grooming for Dogs - Free shipping | Chewy",66,Shop Chewy for low prices and the best Pawstruck products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,235,pawstruck,"Pawstruck Treats, Food & Grooming for Dogs",1,pawstruck,True,True,False,False,True,False,False,False,0,335,4,,,,,,,2,2,14.0,0,1,0,1,1.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/travel-cat-168102,True,Add discoverable internal links from relevant crawl paths.,0,Travel Cat - Free shipping | Chewy,34,Shop Chewy for low prices and the best Travel Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,227,,Travel Cat,1,travel-cat,True,True,False,False,True,False,False,False,0,333,4,,,,,,,,,,,,,,1.0
Brand,Links,No unique inlinks,https://www.chewy.com/brands/lone-wolf-ranch-2914118,True,Add discoverable internal links from relevant crawl paths.,0,Lone Wolf Ranch - Free shipping | Chewy,39,Shop Chewy for low prices and the best Lone Wolf Ranch! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,232,,Lone Wolf Ranch,1,lone-wolf-ranch,True,True,False,False,True,False,False,False,0,308,4,,,,,,,,,,,,,,2.0
