page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Care Articles, Tips, Information, & Guides | Chewy",54,"Your go-to hub for trusted tips on dog care, training, health, and more. Explore resources every dog parent should know. Discover dog care tips, articles, and guides packed with trusted information on training, grooming, nutrition, and more from the experts of Chewy Education.",277,dog,Dog,1,dog,True,True,False,False,False,False,False,False,318249,356,1,good,2251.0,poor,0.665,,,6,5,12.8,1,4,0,1,11.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/flea-and-tick,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Flea & Tick: Symptoms, Risks, Prevention Tips & More | Chewy",64,"Learn how to identify flea and tick symptoms in dogs, understand the risks, explore causes of infestation, and take steps to prevent future issues.",147,,Dog Flea & Tick,1,flea-and-tick,True,True,False,False,False,False,False,False,318249,321,1,,,,,,,,,,,,,,4.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/food-and-nutrition,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Learn about dog food and nutrition, including feeding schedules, diet types, ingredients, and tips for building a healthy routine for your dog.",143,alkaline food for dogs,Dog Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,331,1,good,2072.0,poor,0.705,,,4,4,21.33,0,2,1,1,2.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/grooming,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Grooming Tips and Guides for Bathing, Brushing & More | Chewy.com",69,"Discover dog grooming tips and guides for brushing, bathing, nail trimming, and coat care. Learn how to make grooming calm and consistent.",138,best grooming for dogs,Dog Grooming,1,grooming,True,True,False,False,False,False,False,False,318249,321,1,,,,,,,4,4,8.5,1,1,0,2,2.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/health-and-wellness,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Health: Symptoms, Causes, Treatment Options & More | Chewy",62,"Learn how to recognize dog health symptoms, understand their causes, and explore treatment options to support your dog’s long-term wellness.",140,chewy dog,Dog Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,328,1,good,2018.0,poor,0.94,,,3,3,12.0,0,1,0,2,6.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/new-dog,True,Add breadcrumb markup and visible navigation where appropriate.,,"New Dog Tips for Puppy and Dog Adoption, Setup, Training & More | Chewy",71,"Just brought home a new dog? The New Dog Hub offers step-by-step guides to help you start strong.Whether you adopted a dog or brought home a new puppy, get tips on training, bonding, feeding, and creating a smooth transition for your new pet.",242,puppy,New Dog,1,new-dog,True,True,False,False,False,False,False,False,318249,323,1,good,1846.0,poor,0.6699999999999999,,,7,7,8.29,5,2,0,0,5.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/pet-parenting,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Parenting: Emotional Wellbeing, Structure, Bonding & More | Chewy.com",73,"Discover dog parenting tips for building routines, supporting emotional needs, managing transitions, and creating a strong bond with your dog.",142,chewy for dog,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,325,1,,,,,,,9,9,20.11,0,5,4,0,1.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/training-and-behavior,True,Add breadcrumb markup and visible navigation where appropriate.,,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/dog/food-and-nutrition/best-dog-food,True,Add breadcrumb markup and visible navigation where appropriate.,,"12 Best Dog Foods in 2026, Vet Recommended | Chewy",50,"These are our veterinary experts’ picks for the best dog food, from kibble to canned to fresh food.",99,best canine,"12 Best Dog Foods in 2026, Vet Recommended",1,best-dog-food,True,True,False,False,False,False,False,False,318249,331,1,good,2361.0,good,0.055,,,21,18,20.16,2,6,11,2,25.0
Editorial,Links,Breadcrumb/navigation signal missing,https://www.chewy.com/education/cat,True,Add breadcrumb markup and visible navigation where appropriate.,,"Cat Care Tips, Guides, and Helpful Information | Chewy",54,"Your central hub for trusted tips on cat care, behavior, health, and more. Start here for all things feline. Learn cat care tips, health guides, and key information to help your feline live a happy, healthy life. Ideal for new and seasoned cat parents.",252,cat,Cat,1,cat,True,True,False,False,False,False,False,False,318249,346,1,good,2163.0,poor,0.6699999999999999,,,5,5,22.75,0,1,3,1,8.0
