page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/food-and-nutrition,True,Update URL patterns so the slug reflects the primary search intent.,alkaline food for dogs,"Dog Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Learn about dog food and nutrition, including feeding schedules, diet types, ingredients, and tips for building a healthy routine for your dog.",143,alkaline food for dogs,Dog Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,331,1,good,2072.0,poor,0.705,,,4,4,21.33,0,2,1,1,2.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/health-and-wellness,True,Update URL patterns so the slug reflects the primary search intent.,chewy dog,"Dog Health: Symptoms, Causes, Treatment Options & More | Chewy",62,"Learn how to recognize dog health symptoms, understand their causes, and explore treatment options to support your dog’s long-term wellness.",140,chewy dog,Dog Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,328,1,good,2018.0,poor,0.94,,,3,3,12.0,0,1,0,2,6.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/new-dog,True,Update URL patterns so the slug reflects the primary search intent.,puppy,"New Dog Tips for Puppy and Dog Adoption, Setup, Training & More | Chewy",71,"Just brought home a new dog? The New Dog Hub offers step-by-step guides to help you start strong.Whether you adopted a dog or brought home a new puppy, get tips on training, bonding, feeding, and creating a smooth transition for your new pet.",242,puppy,New Dog,1,new-dog,True,True,False,False,False,False,False,False,318249,323,1,good,1846.0,poor,0.6699999999999999,,,7,7,8.29,5,2,0,0,5.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/pet-parenting,True,Update URL patterns so the slug reflects the primary search intent.,chewy for dog,"Dog Parenting: Emotional Wellbeing, Structure, Bonding & More | Chewy.com",73,"Discover dog parenting tips for building routines, supporting emotional needs, managing transitions, and creating a strong bond with your dog.",142,chewy for dog,Pet Parenting,1,pet-parenting,True,True,False,False,False,False,False,False,318249,325,1,,,,,,,9,9,20.11,0,5,4,0,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/training-and-behavior,True,Update URL patterns so the slug reflects the primary search intent.,entrenamiento para perros,"Dog Training & Behavior: Positive Reinforcement, Habits & More | Chewy.com",74,"Discover how to train your dog and manage behavior challenges with tips on obedience, anxiety, socialization, and real-world routine building.",142,entrenamiento para perros,Dog Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,328,1,good,1946.0,poor,0.675,,,1,1,27.0,0,0,1,0,2.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/food-and-nutrition/best-dog-food,True,Update URL patterns so the slug reflects the primary search intent.,best canine,"12 Best Dog Foods in 2026, Vet Recommended | Chewy",50,"These are our veterinary experts’ picks for the best dog food, from kibble to canned to fresh food.",99,best canine,"12 Best Dog Foods in 2026, Vet Recommended",1,best-dog-food,True,True,False,False,False,False,False,False,318249,331,1,good,2361.0,good,0.055,,,21,18,20.16,2,6,11,2,25.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/cat/flea-and-tick,True,Update URL patterns so the slug reflects the primary search intent.,chewy cat flea treatment,"Cat Flea & Tick: Spotting Signs, Life Cycle, Prevention & More | Chewy",70,Learn how to prevent and treat flea and tick issues in cats with our Cat Flea & Tick Hub.,89,chewy cat flea treatment,Cat Flea & Tick,1,flea-and-tick,True,True,False,False,False,False,False,False,318249,320,1,,,,,,,1,1,24.0,0,0,1,0,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/cat/food-and-nutrition,True,Update URL patterns so the slug reflects the primary search intent.,chewy pet food for cats,"Cat Food & Nutrition: Feeding Guidelines, Diet Types & More | Chewy",67,"Explore cat food and nutrition tips on feeding routines, ingredients, diet transitions, and choosing the right food for your cat’s age and health needs.",152,chewy pet food for cats,Cat Food & Nutrition,1,food-and-nutrition,True,True,False,False,False,False,False,False,318249,326,1,,,,,,,1,1,6.0,1,0,0,0,3.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/cat/training-and-behavior,True,Update URL patterns so the slug reflects the primary search intent.,why does my cat steal my socks,"Cat Training & Behavior: House Rules, Bonding Techniques & More | Chewy",71,"Discover cat training and behavior insights, including how to manage unwanted habits, encourage positive routines, and reduce stress.",133,why does my cat steal my socks,Cat Training & Behavior,1,training-and-behavior,True,True,False,False,False,False,False,False,318249,329,1,,,,,,,2,2,,0,0,0,2,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/cat/food-and-nutrition/best-cat-food,True,Update URL patterns so the slug reflects the primary search intent.,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",42,"These are our veterinary experts’ picks for the best cat food, from wet food to dry food to therapeutic diets.",110,best kitten dry food vet recommended,"10 Best Cat Foods in 2026, Vet Recommended",1,best-cat-food,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,4,4,20.0,0,2,2,0,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/horse/feed-and-nutrition,True,Update URL patterns so the slug reflects the primary search intent.,horse eating hay,"Horse Feed & Nutrition: Diet Planning, Feeding Tips & More | Chewy",66,"Learn about horse feed and nutrition, including diet planning, feeding schedules, forage versus grain, and tips for seasonal and age-related adjustments.",153,horse eating hay,Feed & Nutrition,1,feed-and-nutrition,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,5,4,10.5,2,2,0,1,2.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/horse/tack-and-stable,True,Update URL patterns so the slug reflects the primary search intent.,chewy horse supplies,"Horse Tack & Stable: Tack Room Setup, Cleaning Tips & More | Chewy",66,"Learn how to choose, care for, and organize your tack and stable essentials in the Horse Tack & Stable Hub. Explore horse tack and stable tips for gear care, barn management, cleaning routines, and creating efficient, well-organized spaces.",240,chewy horse supplies,Tack & Stable,1,tack-and-stable,True,True,False,False,False,False,False,False,318249,319,1,,,,,,,1,1,,0,0,0,1,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/fish/health-and-wellness,True,Update URL patterns so the slug reflects the primary search intent.,goldfish losing scales,"Fish Health: Common Diseases, Symptoms, Treatment & More | Chewy",64,"Learn how to monitor fish health with tips on spotting illness, maintaining clean water, reducing stress, and treating common aquarium diseases.",144,goldfish losing scales,Fish Health & Wellness,1,health-and-wellness,True,True,False,False,False,False,False,False,318249,310,1,,,,,,,3,3,19.67,0,2,1,0,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/cat-breeds/maine-coon,True,Update URL patterns so the slug reflects the primary search intent.,mancoon,"Maine Coon Breed: Characteristics, Care & Photos | Chewy",56,"A Maine Coon is a big cat breed who is friendly, fluffy, and vocal. Learn whether a Maine Coon cat is the right fit for you.",124,mancoon,Maine Coon,1,maine-coon,True,True,False,False,True,False,False,True,318249,336,1,good,1690.0,good,0.015,,,5,5,20.0,1,1,2,1,55.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/bird,True,Update URL patterns so the slug reflects the primary search intent.,peach fronted conure toys,"Pet Bird Care & Tips | Guide to Happy, Healthy Birds | Chewy",60,"Discover everything you need to know about bird care, feeding, training, and enrichment in the Bird Education Hub. Discover expert tips on pet bird care, feeding, training, and choosing the right bird. Help your feathered friend thrive with our helpful guides.",260,peach fronted conure toys,Bird,1,bird,True,True,False,False,False,False,False,False,318249,364,1,,,,,,,5,4,31.0,0,0,1,4,2.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/small-pet/hamster,True,Update URL patterns so the slug reflects the primary search intent.,do hamsters smell,Hamster Care and Habitat Tips with Key Information | Chewy,58,"Get expert advice on hamster care, cages, enrichment, and nutrition in our Hamster Education Hub. Learn hamster care with expert tips and reliable information on feeding, habitat setup, enrichment, and more from Chewy Education.",228,do hamsters smell,Hamster,1,hamster,True,True,False,False,False,False,False,False,318249,322,1,,,,,,,3,3,13.5,0,2,0,1,1.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/pet-parenting/walking-dog-at-night,True,Update URL patterns so the slug reflects the primary search intent.,what time should i walk my dog at night,5 Crucial Tips for Walking a Dog at Night | Chewy,49,"Learn how to walk your dog at night safely with visibility gear, expert tips, and essential nighttime walking products.",119,what time should i walk my dog at night,5 Crucial Tips for Walking a Dog at Night,1,walking-dog-at-night,True,True,False,False,False,False,False,False,196,323,2,,,,,,,2,2,3.5,2,0,0,0,4.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/pet-parenting/diy-pill-pouches-for-pets,True,Update URL patterns so the slug reflects the primary search intent.,homemade pill pockets for dogs,DIY Pill Pouches for Pets | Chewy,33,"Make giving medication easier with these DIY pill pouch recipes for pets. Learn simple, tasty tricks to help your dog or cat take their pills.",142,homemade pill pockets for dogs,DIY Pill Pouches for Pets,1,diy-pill-pouches-for-pets,True,True,False,False,False,False,False,False,8,313,2,needs,2948.0,good,0.049999999999999996,,,5,4,9.6,4,1,0,0,11.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/food-and-nutrition/puppy-feeding-guide,True,Update URL patterns so the slug reflects the primary search intent.,how much to feed a puppy,Puppy Feeding Guide: How Much to Feed a Puppy | Chewy,53,Learn how much to feed a puppy at every stage in their development with this veterinarian-approved puppy feeding guide for new puppy parents.,141,how much to feed a puppy,Puppy Feeding Guide: How Much to Feed a Puppy,1,puppy-feeding-guide,True,True,False,False,False,False,False,False,28,341,2,needs,3270.0,good,0.07500000000000001,,,10,8,15.0,4,1,2,3,222.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/new-dog/how-to-puppy-proof-your-house,True,Update URL patterns so the slug reflects the primary search intent.,puppy proofing apartment,How To Puppy-Proof Your House: 30 Safety Tips | Chewy,53,How to puppy-proof your house made simple: Secure your home and prevent accidents with this advice for puppy parents.,117,puppy proofing apartment,How To Puppy-Proof Your House: 30 Safety Tips,1,how-to-puppy-proof-your-house,True,True,False,False,False,False,False,False,122,328,2,,,,,,,3,3,9.5,1,1,0,1,8.0
Editorial,URL,URL slug does not align to main keyword,https://www.chewy.com/education/dog/new-dog/what-to-expect-with-puppy-teething,True,Update URL patterns so the slug reflects the primary search intent.,when do puppies stop teething,Puppy Teething: What To Expect and How To Help | Chewy,54,"When do puppies lose their teeth, and how can you help your dog through the process? Read our guide to puppy teething symptoms and solutions.",141,when do puppies stop teething,Puppy Teething: What To Expect and How To Help Your Puppy,1,what-to-expect-with-puppy-teething,True,True,False,False,False,False,False,False,21,318,2,,,,,,,3,3,21.0,0,1,2,0,12.0
