page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/pressure-mounted-cat-gates_s113912,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Pressure Mounted Cat Gates 2026: According to Reviews | Chewy,66,Checkout Today's Best Pressure Mounted Cat Gates. Our customers believe that these are the Best Pressure Mounted Cat Gates products out there.,142,pressure mounted cat gates,Best Pressure Mounted Cat Gates,1,pressure-mounted-cat-gates,True,True,False,False,True,False,False,False,6,337,3,,,,,,,5,5,27.4,0,0,5,0,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/gerbil-toys_s128516,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Gerbil Toys 2026: According to Reviews | Chewy,51,Checkout Today's Best Gerbil Toys. Our customers believe that these are the Best Gerbil Toys products out there.,112,gerbil toys,Best Gerbil Toy,1,gerbil-toys,True,True,False,False,True,False,False,False,46,332,2,,,,,,,8,8,21.43,0,3,4,1,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/chinchilla-toys_s128508,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Chinchilla Toys 2026: According to Reviews | Chewy,55,Checkout Today's Best Chinchilla Toys. Our customers believe that these are the Best Chinchilla Toys products out there.,120,best chinchilla accessories and products,Best Chinchilla Toys,1,chinchilla-toys,True,True,False,False,True,False,False,False,44,333,2,,,,,,,3,2,19.0,0,2,1,0,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/sugar-glider-bedding_s128732,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Sugar Glider Bedding 2026: According to Reviews | Chewy,60,Checkout Today's Best Sugar Glider Bedding. Our customers believe that these are the Best Sugar Glider Bedding products out there.,130,sugar glider beds,Best Bedding For Sugar Gliders,1,sugar-glider-bedding,True,True,False,False,True,False,False,False,27,330,2,,,,,,,5,5,18.0,0,3,2,0,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/dog-toys_s103256,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Dog Toys 2026: According to Reviews | Chewy,48,Checkout Today's Best Dog Toys. Our customers believe that these are the Best Dog Toys products out there.,106,chewy dog toy,Best Dog Toys,1,dog-toys,True,True,False,False,True,False,False,True,1683,335,2,,,,,,,3,3,24.0,0,1,2,0,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/dog-wipes-waterless-grooming_s107840,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Dog Wipes & Waterless Grooming 2026: According to Reviews | Chewy,70,Checkout Today's Best Dog Wipes & Waterless Grooming. Our customers believe that these are the Best Dog Wipes & Waterless Grooming products out there.,150,best dog wipes and waterless grooming,Best Dog Wipes,1,dog-wipes-waterless-grooming,True,True,False,False,True,False,False,True,99,336,2,,,,,,,7,7,18.8,0,3,2,2,5.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/rabbit-beds-hideouts_s128220,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Rabbit Beds & Hideouts 2026: According to Reviews | Chewy,62,Checkout Today's Best Rabbit Beds & Hideouts. Our customers believe that these are the Best Rabbit Beds & Hideouts products out there.,134,best rabbit beds and hideouts,Best Beds For Rabbits,1,rabbit-beds-hideouts,True,True,False,False,True,False,False,False,42,336,3,,,,,,,4,4,,0,0,0,4,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/chewy-dog-treats_s3887718,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Chewy Dog Treats 2026: According to Reviews | Chewy,56,Checkout Today's Best Chewy Dog Treats. Our customers believe that these are the Best Chewy Dog Treats products out there.,122,chewy treats for dogs,Best Chewy Dog Treats,1,chewy-dog-treats,True,True,False,False,True,False,False,False,57,337,3,,,,,,,4,4,12.5,0,2,0,2,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/cat-stairs_s112576,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Cat Stairs 2026: According to Reviews | Chewy,50,Checkout Today's Best Cat Stairs. Our customers believe that these are the Best Cat Stairs products out there.,110,cat stairs,Best Cat Stairs,1,cat-stairs,True,True,False,False,True,False,False,False,24,336,3,,,,,,,5,5,20.0,0,3,2,0,1.0
Top Picks,Ranking Keywords,No top-10 ranking keywords,https://www.chewy.com/best/small-animal-supplies_s121454,True,"Prioritize content, metadata, linking, and relevance improvements for this template cohort.",0,Best Small Animal Supplies 2026 | Chewy,39,Checkout Today's Best Small Animal Supplies. Our customers believe that these are the Best Small Animal products out there.,123,fat-tailed gerbil pet supplies,Best Small Animal Supplies,1,small-animal-supplies,True,True,False,False,True,False,False,False,318249,368,1,,,,,,,9,9,25.0,0,1,8,0,1.0
