page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/food-332,True,Make descriptions unique at the page/template level.,"Shop Chewy Dog Food and discover dry, wet & fresh dog food recipes tailored to every pup’s needs. Dog food delivery to your door, Autoship savings and free shipping on $49+!",Dog Food: Best Dog Food Brands - Free Shipping | Chewy,54,"Shop Chewy Dog Food and discover dry, wet & fresh dog food recipes tailored to every pup’s needs. Dog food delivery to your door, Autoship savings and free shipping on $49+!",173,dog food,Dog Food,1,food,True,True,False,False,True,False,False,True,327550,465,1,needs,2603.0,good,0.006666666666666667,,,119,111,9.67,57,20,10,32,33.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dry-food-294,True,Make descriptions unique at the page/template level.,"Discover the best dry dog food from top brands like Purina, Blue Buffalo, Hills Science Diet and more. We offer grain-free, organic & sensitive skin and stomach options. FREE shipping $49+!","Dry Dog Food - Healthy, High Quality Dog Food from Top Brands",61,"Discover the best dry dog food from top brands like Purina, Blue Buffalo, Hills Science Diet and more. We offer grain-free, organic & sensitive skin and stomach options. FREE shipping $49+!",189,dry dog food,Dry Dog Food,1,dry-food,True,True,False,False,True,False,False,True,327548,415,1,good,2147.0,needs,0.2,,,223,222,5.4,171,18,3,31,374.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/wet-food-293,True,Make descriptions unique at the page/template level.,"Discover the best wet dog food brands at Chewy, featuring options tailored for grain-free, natural, & sensitive stomach diets. Free shipping on orders $49+!","Wet Dog Food: Top Brands, Low Prices (Free Shipping) | Chewy",60,"Discover the best wet dog food brands at Chewy, featuring options tailored for grain-free, natural, & sensitive stomach diets. Free shipping on orders $49+!",156,wet dog food,Wet Dog Food,1,wet-food,True,True,False,False,True,False,False,True,327548,416,1,good,2156.0,needs,0.22333333333333336,,,125,123,6.76,97,14,5,9,106.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/puppy-food-2284,True,Make descriptions unique at the page/template level.,"Discover Puppy Food at Chewy from top brands like Blue Buffalo, Diamond, Purine One and more. Shop large breed, small breed, and breed specific recipes in one place.",Puppy Food - Best Puppy Food Brands and Deals | Chewy,53,"Discover Puppy Food at Chewy from top brands like Blue Buffalo, Diamond, Purine One and more. Shop large breed, small breed, and breed specific recipes in one place.",165,puppy food,Puppy Food,1,puppy-food,True,True,False,False,True,False,False,True,318253,378,1,good,1849.0,good,0.05,,,28,28,8.95,14,3,4,7,106.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/treats-335,True,Make descriptions unique at the page/template level.,"Shop Dog Treats on Chewy from top brands. We offer a wide variety of options from calming treats for dogs, jerky treats, bones and chews. Get free shipping on orders $49+!",Dog Treats - Healthy Dog Treats from Top Brands | Chewy,55,"Shop Dog Treats on Chewy from top brands. We offer a wide variety of options from calming treats for dogs, jerky treats, bones and chews. Get free shipping on orders $49+!",171,dog treats,Dog Treats,1,treats,True,True,False,False,True,False,False,True,327550,447,1,good,2428.0,good,0.03333333333333333,,,104,98,7.16,71,16,6,11,201.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/bones-bully-sticks-chews-1540,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!","Dog Chew Bones, Bully Sticks & Natural Chews | Chewy",52,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",204,best dog bones for dogs,"Dog Bones, Bully Sticks & Chews",1,bones-bully-sticks-chews,True,True,False,False,True,False,False,True,318253,399,1,good,1768.0,good,0.06,,,40,38,9.45,21,9,3,7,42.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/soft-dog-treats-1538,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Blue Buffalo, Bocce's Bakery, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Soft Dog Treats: Chewy & Tasty (Free Shipping) | Chewy,54,"Shop Chewy for low prices and the best Soft & Chewy Treats! We carry a large selection and the top brands like Blue Buffalo, Bocce's Bakery, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",249,soft dog treats,Soft Dog Treats,1,soft-dog-treats,True,True,False,False,True,False,False,True,318253,387,1,good,1880.0,poor,0.35000000000000003,,,46,44,4.95,33,5,0,8,17.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dental-dog-treats-1539,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,"Dog Dental Chews: Best Chews, Sticks & Treats (Free Shipping) | Chewy",69,Shop Chewy for low prices and the best dog dental chews! We know that dental care for your pup is important. Dental treats and hard chews are a great (and tasty) way to maintain your dog's teeth in between cleanings. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all your DOG DENTAL & HARD DOG CHEWS at Chewy.com.,338,,Dental Treats for Dogs,1,dental-dog-treats,False,False,False,False,True,False,False,False,318253,392,1,good,1760.0,poor,0.36,,,,,,,,,,2.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dog-cookies-and-biscuits-1537,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best dog biscuits & crunchy dog treats! Dog biscuits are a great way to reward your pup and add some variation to their diet. We've got healthy crunchy treats, gluten-free, grain-free, no soy —the list goes on! *FREE* shipping on orders $49+ and the BEST customer service! Shop for all DOG BISCUITS at Chewy.com.","Dog Biscuits, Cookies & Crunchy Treats (Free Shipping) | Chewy",62,"Shop Chewy for low prices and the best dog biscuits & crunchy dog treats! Dog biscuits are a great way to reward your pup and add some variation to their diet. We've got healthy crunchy treats, gluten-free, grain-free, no soy —the list goes on! *FREE* shipping on orders $49+ and the BEST customer service! Shop for all DOG BISCUITS at Chewy.com.",346,chewy dog biscuits,"Biscuits, Cookies & Crunchy Treats",1,dog-cookies-and-biscuits,True,True,False,False,True,False,False,True,318253,400,1,good,1743.0,poor,0.41,,,33,30,8.26,18,4,5,6,18.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/long-lasting-dog-chews-9938,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and the best Long Lasting Dog Chews! Find everything you need in one place. FREE shipping on orders $49+ and top tier customer service!,Long Lasting Dog Chews - Free Shipping | Chewy,46,Shop Chewy for low prices and the best Long Lasting Dog Chews! Find everything you need in one place. FREE shipping on orders $49+ and top tier customer service!,161,long lasting dog chews,Long Lasting Dog Chews,1,long-lasting-dog-chews,True,True,False,False,True,False,False,True,318253,361,1,good,1771.0,poor,0.37500000000000006,,,29,28,11.36,16,6,3,4,49.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/jerky-treats-for-dogs-1546,True,Make descriptions unique at the page/template level.,"Discover Jerky Treats for Dogs from top brands on Chewy. We offer a wide selection of human grade jerky treats, from beef jerky to chicken, duck, salmon and more. Get free shipping on orders $49+!",Jerky Treats for Dogs - Best Dog Jerky Treats | Chewy,53,"Discover Jerky Treats for Dogs from top brands on Chewy. We offer a wide selection of human grade jerky treats, from beef jerky to chicken, duck, salmon and more. Get free shipping on orders $49+!",196,beef jerky dog treats,Jerky Treats for Dogs,1,jerky-treats-for-dogs,True,True,False,False,True,False,False,True,318253,376,1,good,1837.0,needs,0.235,,,27,26,9.56,9,7,0,11,9.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/health-pharmacy-372,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!","Dog Healthcare: Supplements, Dental & More | Chewy",50,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",354,revival dog supplies,Dog Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,True,318253,383,1,needs,3233.0,good,0.015,,,66,64,17.51,13,25,27,1,35.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/vitamins-supplements-374,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best dog vitamins & supplements that can improve your pup's health, wellness and vitality. Dog vitamins help a dog’s body to function properly, regulating everything from dog digestive health, skin & coat care, allergy & immune system to muscle growth. *FREE* shipping on orders $49+ and the BEST customer service.",Best Dog Vitamins & Supplements - Low Prices (Free Shipping) | Chewy,68,"Shop Chewy for low prices and the best dog vitamins & supplements that can improve your pup's health, wellness and vitality. Dog vitamins help a dog’s body to function properly, regulating everything from dog digestive health, skin & coat care, allergy & immune system to muscle growth. *FREE* shipping on orders $49+ and the BEST customer service.",348,dog vitamins and supplements,Dog Vitamins & Supplements,1,vitamins-supplements,True,True,False,False,True,False,False,True,327550,484,1,good,2159.0,good,0.015,,,48,44,10.67,27,9,6,6,48.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/digestive-health-probiotics-1565,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best probiotics for dogs and digestive health products! Whether your dog has a sensitive stomach or is going through a digestive issue, treating your pup couldn't be easier. With a variety of probiotic toppers, soft chews, and supplements, we've got you covered at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service.",Dog Probiotic Supplements & Chews: Digestion Support | Chewy,60,"Shop Chewy for low prices and the best probiotics for dogs and digestive health products! Whether your dog has a sensitive stomach or is going through a digestive issue, treating your pup couldn't be easier. With a variety of probiotic toppers, soft chews, and supplements, we've got you covered at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service.",371,probiotics for dogs,Digestive Health Supplements & Probiotics for Dogs,1,digestive-health-probiotics,True,True,False,False,True,False,False,True,318253,371,1,good,1871.0,good,0.05,,,30,29,8.03,24,3,3,0,45.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dog-288,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,dog supplies,Dog Supplies,1,dog,True,True,False,False,True,False,False,True,327550,359,1,needs,2937.0,good,0.03666666666666667,,,96,78,12.35,36,28,18,14,18.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dog-beds-365,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best, durable dog beds and mats! We carry a wide selection of large and small dog beds, heated beds, elevated beds, cooling beds and more. If you’re looking for the perfect bed for your pooch, you’ve come to the right place. *FAST and FREE* shipping on orders $49+ and the BEST customer service.","Dog Beds & Bedding: Small to XL, Low Prices (Free Shipping) | Chewy",67,"Shop Chewy for the best, durable dog beds and mats! We carry a wide selection of large and small dog beds, heated beds, elevated beds, cooling beds and more. If you’re looking for the perfect bed for your pooch, you’ve come to the right place. *FAST and FREE* shipping on orders $49+ and the BEST customer service.",314,dog beds,Dog Beds,1,dog-beds,True,True,False,False,True,False,False,True,318253,428,1,good,2404.0,good,0.05333333333333333,,,62,59,8.16,37,18,0,7,105.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/toys-315,True,Make descriptions unique at the page/template level.,"Make the most of playtime with dog toys from Chewy. Discover fetch toys, chew toys, squeaky toys, tug toys and more that were made to help your dog be happy, fit and well trained. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all DOG TOYS at Chewy.com.","Dog Toys: Top Brands, Low Prices (Free Shipping) | Chewy",56,"Make the most of playtime with dog toys from Chewy. Discover fetch toys, chew toys, squeaky toys, tug toys and more that were made to help your dog be happy, fit and well trained. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all DOG TOYS at Chewy.com.",277,dog toys,Dog Toys,1,toys,True,True,False,False,True,False,False,True,327550,431,1,good,2201.0,good,0.03666666666666667,,,65,63,12.53,23,18,10,14,63.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/treat-toys-dispensers-2336,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices on dog treat toys. We have a wide selection of dog dog treat toys including interactive puzzles that dispense treats, balls and bones you can put a treat inside or filling inside and more from top brands. *FREE* shipping on orders $49+ and the BEST customer service!",Dog Treat Toys & Food Dispensers (Free Shipping) | Chewy,56,"Shop Chewy for low prices on dog treat toys. We have a wide selection of dog dog treat toys including interactive puzzles that dispense treats, balls and bones you can put a treat inside or filling inside and more from top brands. *FREE* shipping on orders $49+ and the BEST customer service!",292,dog treat dispensers and toys,Dog Treat Dispensers & Toys,1,treat-toys-dispensers,True,True,False,False,True,False,False,True,318253,359,1,good,1613.0,needs,0.16,,,12,12,6.67,10,2,0,0,45.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dog-brush-356,True,Make descriptions unique at the page/template level.,"Shop Chewy's wide selection of the best dog brushes, grooming gloves and dog combs to keep your pup's fur pretty and free of stray shedding hairs. Brushing your dog is a necessary grooming regimen that creates a wonderful bonding experience. Low prices and *FREE* shipping on orders $49+ and the BEST customer service!","Dog Brushes, Combs, De-shed & Grooming Gloves (Free Shipping) | Chewy",69,"Shop Chewy's wide selection of the best dog brushes, grooming gloves and dog combs to keep your pup's fur pretty and free of stray shedding hairs. Brushing your dog is a necessary grooming regimen that creates a wonderful bonding experience. Low prices and *FREE* shipping on orders $49+ and the BEST customer service!",318,dog brush,Dog Brushes & Combs,1,dog-brush,True,True,False,False,True,False,False,True,318253,366,1,good,1692.0,needs,0.13,,,204,198,10.25,109,65,16,14,169.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dog-shampoo-and-conditioner-358,True,Make descriptions unique at the page/template level.,"Shop Chewy's wide selection of the best dog shampoos and dog conditioners. You'll find everything you need to fit your dog's fur needs like sensitive skin, shedding control, anti-fungal and itch relief shampoos and conditioners. *FAST and FREE* shipping on orders $49+ and the BEST customer service!",Best Dog Shampoos and Conditioners: Low Prices (Free Shipping) | Chewy,70,"Shop Chewy's wide selection of the best dog shampoos and dog conditioners. You'll find everything you need to fit your dog's fur needs like sensitive skin, shedding control, anti-fungal and itch relief shampoos and conditioners. *FAST and FREE* shipping on orders $49+ and the BEST customer service!",299,dog shampoos & conditioners,Dog Shampoos & Conditioners,1,dog-shampoo-and-conditioner,True,True,False,False,True,False,False,True,318253,371,1,good,1704.0,good,0.07500000000000001,,,10,10,11.0,2,3,0,5,38.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/food-387,True,Make descriptions unique at the page/template level.,"Shop Chewy Cat Food and discover the best cat food brands like Hills Science Diet, Royal Canin, Orijen, Tiki Cat and more. Get free shipping today on orders $49+!",Cat Food: Best Cat Food from Top Brands on Chewy,48,"Shop Chewy Cat Food and discover the best cat food brands like Hills Science Diet, Royal Canin, Orijen, Tiki Cat and more. Get free shipping today on orders $49+!",162,cat food,Cat Food,1,food,True,True,False,False,True,False,False,True,327550,449,1,needs,2685.0,good,0.01,,,240,231,8.03,109,29,10,92,153.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/wet-food-389,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best high quality wet cat food and canned cat food from top brands like Orijen, Royal Canin, Weruva, Hills Science Diet and more. Get free shipping on orders $49+!","Wet Cat Food - Best Healthy, Canned, Soft & Wet Food for Cats | Chewy",69,"Shop Chewy for the best high quality wet cat food and canned cat food from top brands like Orijen, Royal Canin, Weruva, Hills Science Diet and more. Get free shipping on orders $49+!",182,canned wet cat food,Wet Cat Food,1,wet-food,True,True,False,False,True,False,False,True,327548,405,1,good,2200.0,needs,0.21333333333333332,,,180,173,7.67,123,35,5,17,206.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/dry-food-388,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best dry cat food for your furry friend. From grain-free to gluten-free to sensitive stomachs and more, we offer a wide selection of dry food from top-rated brands for cats of all ages. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all of your DRY CAT FOOD needs at Chewy.com.","Best Dry Cat Food: Top Brands, Low Prices (Free Shipping) | Chewy",65,"Shop Chewy for the best dry cat food for your furry friend. From grain-free to gluten-free to sensitive stomachs and more, we offer a wide selection of dry food from top-rated brands for cats of all ages. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all of your DRY CAT FOOD needs at Chewy.com.",320,dry cat food,Dry Cat Food,1,dry-food,True,True,False,False,True,False,False,True,327548,408,1,good,1929.0,needs,0.23500000000000001,,,81,77,13.55,24,31,12,14,55.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/highest-quality-cat-food-11741,True,Make descriptions unique at the page/template level.,"Delivering pet happiness by conveniently shipping 3,500+ brands of pet food and stuff (for free!) while ensuring at-risk animals' lives are improved across the planet. 1-800-672-4399",Premium Cat Food: Best Brands (Free Shipping) | Chewy,53,"Delivering pet happiness by conveniently shipping 3,500+ brands of pet food and stuff (for free!) while ensuring at-risk animals' lives are improved across the planet. 1-800-672-4399",182,premium cat food,Highest Quality Cat Food,1,highest-quality-cat-food,True,True,False,False,True,False,False,False,318253,362,1,good,1797.0,good,0.07,,,22,22,9.47,14,2,3,3,32.0
Browse,Meta,Duplicate meta description,https://www.chewy.com/b/kitten-food-2293,True,Make descriptions unique at the page/template level.,"Discover Kitten Food at Chewy. We offer low prices from the best kitten food brands like Hills Science Diet, Purina, Fancy Feast and more. Free shipping on orders $49+!",Kitten Food - Free Shipping | Chewy,35,"Discover Kitten Food at Chewy. We offer low prices from the best kitten food brands like Hills Science Diet, Purina, Fancy Feast and more. Free shipping on orders $49+!",168,kitten food,Kitten Food,1,kitten-food,True,True,False,False,True,False,False,True,318253,357,1,good,1779.0,needs,0.21,,,13,11,19.58,2,3,7,1,11.0
