page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/delectables_f1v32446,True,Make descriptions unique at the page/template level.,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",Delectables - Free shipping | Chewy,35,"Shop Chewy for low prices and the best products! We carry a large selection and the top brands like Frisco, Littlearth, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",228,,Delectables,1,delectables,True,True,False,False,False,False,False,False,173,339,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/diabetic-cat-treats_c391_f50v308396,True,Make descriptions unique at the page/template level.,"Explore Cat Treats on Chewy with crunchy, soft, freeze dried and lickable options for every feline. Discover healthy, natural cat treats and more from top brands like Temptations, INABA Churu, Greenies & more.",DIABETIC CAT TREATS - TREATS FOR CATS WITH DIABETES | CHEWY,59,"Explore Cat Treats on Chewy with crunchy, soft, freeze dried and lickable options for every feline. Discover healthy, natural cat treats and more from top brands like Temptations, INABA Churu, Greenies & more.",209,,Diabetic Cat Treats,1,diabetic-cat-treats,True,True,False,False,True,False,False,False,195,341,2,,,,,,,,,,,,,,5.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/acana-dry-cat-food_c388_f1v507405,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best dry cat food for your furry friend. From grain-free to gluten-free to sensitive stomachs and more, we offer a wide selection of dry food from top-rated brands for cats of all ages. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all of your DRY CAT FOOD needs at Chewy.com.",ACANA DRY CAT FOOD (Free Shipping) | Chewy,42,"Shop Chewy for the best dry cat food for your furry friend. From grain-free to gluten-free to sensitive stomachs and more, we offer a wide selection of dry food from top-rated brands for cats of all ages. *FREE* shipping on orders $49+ and the BEST customer service! Shop for all of your DRY CAT FOOD needs at Chewy.com.",320,,ACANA Dry Cat Food,1,acana-dry-cat-food,True,True,False,False,True,False,False,False,103,358,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/horse-calming_c1691_f50v13800,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,HORSE CALMING | CHEWY,21,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Horse Calming,1,horse-calming,True,True,False,False,True,False,False,False,36,321,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/horse-ulcer-treatment_c1691_f50v63768,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,HORSE ULCER TREATMENT | CHEWY,29,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Horse Ulcer Treatment,1,horse-ulcer-treatment,True,True,False,False,True,False,False,False,36,333,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/joint-support-horses_c1691_f50v13679,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,JOINT SUPPORT FOR HORSES | CHEWY,32,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,horse soreness relief,Joint Support For Horses,1,joint-support-horses,True,True,False,False,True,False,False,False,36,345,2,,,,,,,1,1,8.0,1,0,0,0,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/hoof-health_c1691_f50v85202,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,HOOF HEALTH | CHEWY,19,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Hoof Health,1,hoof-health,True,True,False,False,True,False,False,False,36,357,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/senior-horse-health_c1691_f172v596128,True,Make descriptions unique at the page/template level.,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,SENIOR HORSE HEALTH | CHEWY,27,Shop Chewy for low prices and a wide selection of health & wellness products for your horse. From vitamins & supplements to first aid and pest control products Chewy has everything you need to keep your equine friend happy and healthy. *FREE* shipping on orders $49+ and the BEST customer service!,297,,Senior Horse Health,1,senior-horse-health,True,True,False,False,True,False,False,False,31,319,2,,,,,,,,,,,,,,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/small-bones-natural-chews_c1540_f6v13790,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",SMALL DOG BONES & NATURAL CHEWS (Free Shipping) | Chewy,55,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",204,small bones natural chews,Small Dog Bones & Natural Chews,1,small-bones-natural-chews,True,True,False,False,True,False,False,False,312,384,2,,,,,,,1,1,,0,0,0,1,1.0
HVF,Meta,Duplicate meta description,https://www.chewy.com/f/medium-bones-natural-chews_c1540_f6v13791,True,Make descriptions unique at the page/template level.,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",DOG BONES & NATURAL CHEWS FOR MEDIUM SIZE DOGS,46,"Shop Chewy for the best chew bones for dogs, bully sticks and natural dog chews! Satisfy your dog's instinct to chew natural beef bones, marrow bones, elk antlers & more. Get free shipping on orders $49+!",204,medium bones natural chews,Dog Bones & Natural Chews For Medium Size Dogs,1,medium-bones-natural-chews,True,True,False,False,True,False,False,False,311,384,2,,,,,,,1,1,23.0,0,0,1,0,1.0
