page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,H1,Missing H1,https://www.chewy.com/doxycycline-hyclate-compounded-oral/dp/672718,True,Add one descriptive H1 to the page template.,,,,,,,,0,doxycycline-hyclate-compounded-oral,,True,False,False,False,False,False,False,201,302,3,,,,,,,,,,,,,,1.0
PDP,H1,Missing H1,https://www.chewy.com/meloxicam-compounded-oral-oil-liquid/dp/388787,True,Add one descriptive H1 to the page template.,,,,,,,,0,meloxicam-compounded-oral-oil-liquid,,True,False,False,False,False,False,False,20,302,3,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/littlearth-nhl-personalized-stretch/dp/310213,True,Add one descriptive H1 to the page template.,,,,,,,,0,littlearth-nhl-personalized-stretch,,True,False,False,False,False,False,False,36,302,3,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/eys-hidream-cooling-ice-neck-wrap/dp/1906414,True,Add one descriptive H1 to the page template.,,,,,,,,0,eys-hidream-cooling-ice-neck-wrap,,True,False,False,False,False,False,False,3,302,3,,,,,,,,,,,,,,1.0
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367713,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,289,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/pets-first-ncaa-dog-cat-mesh-jersey/dp/169070,True,Add one descriptive H1 to the page template.,,,,,,,,0,pets-first-ncaa-dog-cat-mesh-jersey,,True,False,False,False,False,False,False,22,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-multivitamin-soft/dp/367080,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-multivitamin-soft,,True,False,False,False,False,False,False,233,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/premium-personalized-stainless-steel/dp/4778534,True,Add one descriptive H1 to the page template.,,,,,,,,0,premium-personalized-stainless-steel,,True,False,False,False,False,False,False,13,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/prednisolone-compounded-oral-oil/dp/299935,True,Add one descriptive H1 to the page template.,,,,,,,,0,prednisolone-compounded-oral-oil,,True,False,False,False,False,False,False,21,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/230666,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,158,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/fluconazole-compounded-capsule-dogs/dp/374472,True,Add one descriptive H1 to the page template.,,,,,,,,0,fluconazole-compounded-capsule-dogs,,True,False,False,False,False,False,False,44,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/cisapride-compounded-oral-oil-liquid/dp/272944,True,Add one descriptive H1 to the page template.,,,,,,,,0,cisapride-compounded-oral-oil-liquid,,True,False,False,False,False,False,False,18,302,4,,,,,,,,,,,,,,1.0
PDP,H1,Missing H1,https://www.chewy.com/hoop-dogs-atlanta-hawks-pit-bull-t/dp/3321526,True,Add one descriptive H1 to the page template.,,,,,,,,0,hoop-dogs-atlanta-hawks-pit-bull-t,,True,False,False,False,False,False,False,37,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/diphenhydramine-hcl-compounded-oral/dp/300867,True,Add one descriptive H1 to the page template.,,,,,,,,0,diphenhydramine-hcl-compounded-oral,,True,False,False,False,False,False,False,7,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/prednisolone-compounded-oral-oil/dp/299945,True,Add one descriptive H1 to the page template.,,,,,,,,0,prednisolone-compounded-oral-oil,,True,False,False,False,False,False,False,21,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/trilostane-compounded-oral-oil-liquid/dp/362090,True,Add one descriptive H1 to the page template.,,,,,,,,0,trilostane-compounded-oral-oil-liquid,,True,False,False,False,False,False,False,22,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/snoozer-pet-products-100-washable/dp/1098166,True,Add one descriptive H1 to the page template.,,,,,,,,0,snoozer-pet-products-100-washable,,True,False,False,False,False,False,False,20,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/littlearth-nfl-dog-cat-baseball-hat/dp/377149,True,Add one descriptive H1 to the page template.,,,,,,,,0,littlearth-nfl-dog-cat-baseball-hat,,True,False,False,False,False,False,False,31,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367762,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,163,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/metronidazole-compounded-oral-oil/dp/599086,True,Add one descriptive H1 to the page template.,,,,,,,,0,metronidazole-compounded-oral-oil,,True,False,False,False,False,False,False,11,302,4,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/omeprazole-compounded-oral-oil-liquid/dp/336374,True,Add one descriptive H1 to the page template.,,,,,,,,0,omeprazole-compounded-oral-oil-liquid,,True,False,False,False,False,False,False,6,302,5,,,,,,,,,,,,,,1.0
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367963,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,160,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367965,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,160,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/368001,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,161,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/368038,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,160,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/pets-first-satin-nylon-standard-dog/dp/1219502,True,Add one descriptive H1 to the page template.,,,,,,,,0,pets-first-satin-nylon-standard-dog,,True,False,False,False,False,False,False,94,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/enalapril-maleate-compounded-oral-oil/dp/1579430,True,Add one descriptive H1 to the page template.,,,,,,,,0,enalapril-maleate-compounded-oral-oil,,True,False,False,False,False,False,False,15,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/lupinepet-basic-solid-padded-handle/dp/1801614,True,Add one descriptive H1 to the page template.,,,,,,,,0,lupinepet-basic-solid-padded-handle,,True,False,False,False,False,False,False,20,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367682,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,65,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367814,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,218,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367701,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,65,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367702,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,65,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367706,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,65,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367722,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,65,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367890,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,218,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-hip-joint-care-soft/dp/366583,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-hip-joint-care-soft,,True,False,False,False,False,False,False,220,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367732,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,156,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367733,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,156,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367820,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,155,302,5,,,,,,,,,,,,,,
PDP,H1,Missing H1,https://www.chewy.com/healthy-breeds-z-flex-max-hip-joint/dp/367870,True,Add one descriptive H1 to the page template.,,,,,,,,0,healthy-breeds-z-flex-max-hip-joint,,True,False,False,False,False,False,False,156,302,5,,,,,,,,,,,,,,
