page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/dog-deals-2733,True,Update H1 templates to reflect the primary page intent.,coupons chewy,Dog Supplies On Sale: Discount Dog Supplies - Free Shipping | Chewy,67,"Shop Chewy for low sale prices on dog supplies. Find great deals and see what dog supplies are on sale like dog beds, dog food, dog toys, dog treats and more. FREE shipping on orders $49+ and the BEST customer service!",218,coupons chewy,Dog Deals,1,dog-deals,True,True,False,False,True,False,False,False,318238,372,1,good,2065.0,good,0.01,,,44,41,15.86,7,7,7,23,33.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/todays-deals-2723,True,Update H1 templates to reflect the primary page intent.,chewy promo code,"Today's Deals: Chewy Promo Codes, Discounts & Coupons | Chewy",61,"Check out Chewy's best deals, promo codes & coupons. Take 40% off your first Autoship order & an extra 5% off select brands. Orders over $49 get free shipping!",159,chewy promo code,Today's Deals,1,todays-deals,True,True,False,False,True,False,False,False,327550,376,1,good,2444.0,good,0.0033333333333333335,,,72,72,2.08,69,2,1,0,85.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/50-off-your-first-autoship-order-3448422,True,Update H1 templates to reflect the primary page intent.,chewy autoship promo code,50% off your first Autoship order of prescription medication - Free shipping | Chewy,84,"Shop Chewy for low prices and the best 50% off your first Autoship order of prescription medication! We carry a large selection and the top brands like Trilostane Compounded, Pimobendan Compounded, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",306,chewy autoship promo code,50% off your first Autoship order of prescription medication,1,50-off-your-first-autoship-order,True,True,False,False,True,False,False,False,48,351,1,good,1814.0,good,0.085,,,1,1,,0,0,0,1,21.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/cat-4320374,True,Update H1 templates to reflect the primary page intent.,,Cat Supplies: Cat Accessories & Products (Free Shipping) | Chewy,64,"Shop Chewy for cat supplies ranging from the best cat food and treats to litter and cat toys, supplements, cat beds and so much more. Low prices and *FREE* shipping on orders $49+ plus the BEST customer service! If you’re a cat person—or a soon-to-be cat person—you’ve come to the right place. Shop for all of your CAT SUPPLIES at Chewy.com.",341,,,0,cat,True,True,False,False,True,False,False,True,325,346,2,,,,,,,,,,,,,,1.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/dog-4320278,True,Update H1 templates to reflect the primary page intent.,,Dog Supplies: Best Dog & Puppy Products (Free Shipping) | Chewy,63,"Shop Chewy for low prices on quality dog supplies like dog food, dog toys, crates, vitamins, supplements and more. We carry dog products from the most trusted brands, and deliver it right to your door with fast, free shipping! Get all your DOG SUPPLIES at Chewy.com today.",272,,,0,dog,True,True,False,False,True,False,False,True,451,348,2,,,,,,,,,,,,,,1.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/chicken-deals-3889878,True,Update H1 templates to reflect the primary page intent.,chicken treat offers,Chicken Deals - Free shipping | Chewy,37,Shop Chewy for low prices and the best Chicken Deals! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chicken treat offers,Chicken Deals,1,chicken-deals,True,True,False,False,True,False,False,False,208,345,2,,,,,,,1,1,,0,0,0,1,1.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/health-pharmacy-4330078,True,Update H1 templates to reflect the primary page intent.,,"Cat Healthcare: Supplements, First Aid & More (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Health & Pharmacy! We carry a large selection and the top brands like Purina ONE, DentaLife, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",240,,Cat Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,False,15,342,3,,,,,,,,,,,,,,1.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/toys-705030,True,Update H1 templates to reflect the primary page intent.,deals on small animal chew toys,Small Pet Toys - Free shipping | Chewy,38,Shop Chewy for low prices and the best Toys products! We carry a large selection and the top brands like Chewy Exclusives and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,deals on small animal chew toys,Small Pet Toys,1,toys,True,True,False,False,True,False,False,False,45,346,3,,,,,,,1,1,8.0,1,0,0,0,1.0
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/food-treats-156206,True,Update H1 templates to reflect the primary page intent.,cyber week deals on fish food and treats,Fish Food - Free shipping | Chewy,33,"Shop Chewy for low prices and the best Food & Treats! We carry a large selection and the top brands like Fluval, API, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",226,cyber week deals on fish food and treats,Fish Food,1,food-treats,True,True,False,False,True,False,False,False,22,341,3,,,,,,,2,2,24.5,0,0,2,0,
Deals,H1,H1 does not align to main keyword or topic,https://www.chewy.com/deals/health-pharmacy-4330086,True,Update H1 templates to reflect the primary page intent.,,"Dog Healthcare: Supplements, Dental & More | Chewy",50,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",354,,Dog Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,True,10,336,3,,,,,,,,,,,,,,1.0
