page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-egift-card/dp/226305,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Chewy Pet Lovers, $25",1,chewy-egift-card,True,True,False,False,True,True,True,True,22,328,2,needs,2679.0,good,0.03,,,5,5,5.33,2,1,0,2,4.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-egift-card/dp/541878,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,how to cards on chewy,"Chewy eGift Card, Number One Dad, $150",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,9,8,12.5,3,1,2,3,6.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-egift-card/dp/288421,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift card,"Chewy eGift Card, Congrats New Bestie Cat, $100",1,chewy-egift-card,True,True,False,False,True,True,True,True,21,329,3,,,,,,,7,6,6.8,4,1,0,2,3.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-egift-card/dp/283558,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,chewy gift cards,"Chewy eGift Card, Purr-fect Gift, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,23,328,2,,,,,,,5,5,10.5,1,1,0,3,1.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/royal-canin-veterinary-diet-adult/dp/128010,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"ROYAL CANIN VETERINARY DIET Urinary Adult Cat Treats, 7.7-oz bag - Chewy.com",76,"Buy Royal Canin Veterinary Diet Urinary Adult Cat Treats, 7.7-oz bag at Chewy.com. FREE shipping and the BEST customer service!",127,veterinary diet cat treats for urinary tract health,"Royal Canin Veterinary Diet Urinary Adult Cat Treats, 7.7-oz bag",1,royal-canin-veterinary-diet-adult,True,True,False,False,True,True,True,True,37,321,2,good,2477.0,good,0.095,,,1,1,19.0,0,1,0,0,13.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/hills-natural-flexi-stix-beef-jerky/dp/131612,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"HILL'S Natural Flexi-Stix Beef Jerky Dog Treats, 7.1-oz bag - Chewy.com",71,"Buy Hill's Natural Flexi-Stix Beef Jerky Dog Treats, 7.1-oz bag at Chewy.com. FREE shipping and the BEST customer service!",122,chewy exclusive jerky dog treats,"Hill's Natural Flexi-Stix Beef Jerky Dog Treats, 7.1-oz bag",1,hills-natural-flexi-stix-beef-jerky,True,True,False,False,True,True,True,True,104,324,3,,,,,,,1,1,14.0,0,1,0,0,1.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/country-kitchen-rawhide-free-beef/dp/925902,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"COUNTRY KITCHEN Rawhide-Free Beef Rings Dog Chew Treats, 7 count - Chewy.com",76,"Buy Country Kitchen Rawhide-Free Beef Rings Dog Chew Treats, 7 count at Chewy.com. FREE shipping and the BEST customer service!",127,chewy exclusive rawhide-free dog treats,"Country Kitchen Rawhide-Free Beef Rings Dog Chew Treats, 7 count",1,country-kitchen-rawhide-free-beef,True,True,False,False,True,True,True,True,82,330,2,,,,,,,1,1,16.0,0,1,0,0,1.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-triple-flavor-rawhide-twist/dp/1819758,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"CHEWY MADE Triple Flavor Rawhide Twist Dog Treats (FORMERLY BONES & CHEWS), 40 count - Chewy.com",96,"Buy Chewy Made Triple Flavor Rawhide Twist Dog Treats (FORMERLY BONES & CHEWS), 40 count at Chewy.com. FREE shipping and the BEST customer service!",147,chewy exclusive rawhide-free dog treats,"Chewy Made Triple Flavor Rawhide Twist Dog Treats (FORMERLY BONES & CHEWS), 40 count",1,chewy-triple-flavor-rawhide-twist,True,True,False,False,True,True,True,True,0,318,4,,,,,,,1,1,19.0,0,1,0,0,1.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-jumbo-bully-stick-12-dog/dp/1760910,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"CHEWY MADE Jumbo Bully Stick 12"" Dog Treats (FORMERLY BONES & CHEWS), 3 count - Chewy.com",89,"Buy Chewy Made Jumbo Bully Stick 12"" Dog Treats (FORMERLY BONES & CHEWS), 3 count at Chewy.com. FREE shipping and the BEST customer service!",140,chewy exclusive bones bully sticks and natural dog chews,"Chewy Made Jumbo Bully Stick 12"" Dog Treats (FORMERLY BONES & CHEWS), 3 count",1,chewy-jumbo-bully-stick-12-dog,True,False,False,False,True,True,True,True,42,319,3,,,,,,,1,1,11.0,0,1,0,0,1.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/chewy-unscented-clumping-clay-litter/dp/1761110,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,"CHEWY MADE Multi-Cat Unscented Clumping Clay Cat Litter (FORMERLY FRISCO), 40-lb bag - Chewy.com",96,"Buy Chewy Made Multi-Cat Unscented Clumping Clay Cat Litter (FORMERLY FRISCO), 40-lb bag at Chewy.com. FREE shipping and the BEST customer service!",147,frisco cat litter,"Chewy Made Multi-Cat Unscented Clumping Clay Cat Litter (FORMERLY FRISCO), 40-lb bag",1,chewy-unscented-clumping-clay-litter,True,True,False,False,True,True,True,True,5,321,3,good,2484.0,good,0.07,,,7,7,7.0,5,1,1,0,8.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/kaytee-woodland-get-way-small-pet/dp/188994,True,Push near-page-one terms with title/H1/meta/linking improvements.,2,"KAYTEE Woodland Get-A-Way Small Pet Hideout, Medium - Chewy.com",63,"Buy Kaytee Woodland Get-A-Way Small Pet Hideout, Medium at Chewy.com. FREE shipping and the BEST customer service!",114,wood small pet hideouts,"Kaytee Woodland Get-A-Way Small Pet Hideout, Medium",1,kaytee-woodland-get-way-small-pet,True,True,False,False,True,True,True,True,48,332,3,,,,,,,2,2,14.5,0,2,0,0,1.0
PDP,Ranking Keywords,Has quick-win keywords in positions 11-20,https://www.chewy.com/carson-industries-in-memory-slate/dp/184297,True,Push near-page-one terms with title/H1/meta/linking improvements.,1,CARSON INDUSTRIES In Memory Slate Stone - Chewy.com,51,Buy Carson Industries In Memory Slate Stone at Chewy.com. FREE shipping and the BEST customer service!,102,carson industries dog memorial stones,Carson Industries In Memory Slate Stone,1,carson-industries-in-memory-slate,True,True,False,False,True,True,True,True,23,313,4,,,,,,,1,1,13.0,0,1,0,0,1.0
