page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/products-by-dog-breed_s142470,True,Update H1 templates to reflect the primary page intent.,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds 2026 | Chewy,49,Checkout Today's Best Products by Dog Breed Supplies. Our customers believe that these are the Best Products by Dog Breed products out there.,141,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds,1,products-by-dog-breed,True,True,False,False,True,False,False,False,318249,422,1,,,,,,,4,4,18.33,1,0,2,1,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/fish-aquarium-supplies_s121446,True,Update H1 templates to reflect the primary page intent.,chewy fish tank,Best Aquarium Accessories 2026 | Chewy,38,Checkout Today's Best Fish & Aquarium Supplies. Our customers believe that these are the Best Fish & Aquarium products out there.,129,chewy fish tank,Best Aquarium Accessories,1,fish-aquarium-supplies,True,True,False,False,True,False,False,False,318249,339,1,,,,,,,2,2,6.5,2,0,0,0,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/small-animal-supplies_s121454,True,Update H1 templates to reflect the primary page intent.,fat-tailed gerbil pet supplies,Best Small Animal Supplies 2026 | Chewy,39,Checkout Today's Best Small Animal Supplies. Our customers believe that these are the Best Small Animal products out there.,123,fat-tailed gerbil pet supplies,Best Small Animal Supplies,1,small-animal-supplies,True,True,False,False,True,False,False,False,318249,368,1,,,,,,,9,9,25.0,0,1,8,0,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/nesting-pads-chickens_s3897318,True,Update H1 templates to reflect the primary page intent.,chicken nesting pads,,,,,chicken nesting pads,,0,nesting-pads-chickens,,True,False,False,False,False,False,False,188,0,2,,,,,,,1,1,11.0,0,1,0,0,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/dog-toys-for-labrador-retrievers_s143294,True,Update H1 templates to reflect the primary page intent.,best dog toys for labrador retrievers,Best Dog Toys for Labrador Retrievers 2026: According to Reviews | Chewy,72,Checkout Today's Best Dog Toys for Labrador Retrievers. Our customers believe that these are the Best Dog Toys for Labrador Retrievers products out there.,154,best dog toys for labrador retrievers,Best Toys For Labs,1,dog-toys-for-labrador-retrievers,True,True,False,False,True,False,False,False,79,335,2,,,,,,,6,5,10.67,2,1,0,3,7.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/puppy-foods-for-maltese_s237166,True,Update H1 templates to reflect the primary page intent.,best dog food for maltese shih tzu mix,Best Puppy Foods for Maltese 2026: According to Reviews | Chewy,63,Checkout Today's Best Puppy Foods for Maltese. Our customers believe that these are the Best Puppy Foods for Maltese products out there.,136,best dog food for maltese shih tzu mix,Best Puppy Food For Maltese,1,puppy-foods-for-maltese,True,True,False,False,True,False,False,False,2,335,2,,,,,,,1,1,15.0,0,1,0,0,14.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/covered-cat-beds_s112304,True,Update H1 templates to reflect the primary page intent.,chewycatbeds,Best Covered Cat Beds 2026: According to Reviews | Chewy,56,Checkout Today's Best Covered Cat Beds. Our customers believe that these are the Best Covered Cat Beds products out there.,122,chewycatbeds,Best Covered Cat Bed,1,covered-cat-beds,True,True,False,False,True,False,False,False,260,336,2,,,,,,,3,3,20.0,1,0,2,0,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/friskies-cat-treats_s113776,True,Update H1 templates to reflect the primary page intent.,,,,,,,,0,friskies-cat-treats,,True,False,False,False,False,False,False,39,0,2,,,,,,,,,,,,,,
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/chicken-nesting-boxes-nest-eggs_s124406,True,Update H1 templates to reflect the primary page intent.,best chicken nesting boxes and nest eggs,Best Chicken Nesting Boxes & Nest Eggs 2026: According to Reviews | Chewy,73,Checkout Today's Best Chicken Nesting Boxes & Nest Eggs. Our customers believe that these are the Best Chicken Nesting Boxes & Nest Eggs products out there.,156,best chicken nesting boxes and nest eggs,Best Nesting Boxes,1,chicken-nesting-boxes-nest-eggs,True,True,False,False,True,False,False,False,66,337,2,,,,,,,2,2,19.0,0,1,1,0,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/chinchilla-toys_s128508,True,Update H1 templates to reflect the primary page intent.,best chinchilla accessories and products,Best Chinchilla Toys 2026: According to Reviews | Chewy,55,Checkout Today's Best Chinchilla Toys. Our customers believe that these are the Best Chinchilla Toys products out there.,120,best chinchilla accessories and products,Best Chinchilla Toys,1,chinchilla-toys,True,True,False,False,True,False,False,False,44,333,2,,,,,,,3,2,19.0,0,2,1,0,1.0
Top Picks,H1,H1 does not align to main keyword or topic,https://www.chewy.com/best/mouse-bedding_s128748,True,Update H1 templates to reflect the primary page intent.,best mouse bedding for smell,Best Mouse Bedding 2026: According to Reviews | Chewy,53,Checkout Today's Best Mouse Bedding. Our customers believe that these are the Best Mouse Bedding products out there.,116,best mouse bedding for smell,Best Bedding For Mice,1,mouse-bedding,True,True,False,False,True,False,False,False,26,331,2,,,,,,,1,1,21.0,0,0,1,0,1.0
