page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/chewy-egift-card/dp/226306,True,Update URL patterns so the slug reflects the primary search intent.,gift card for dogs,Chewy eGift Cards For Pet Lovers | Chewy,40,"Buy Chewy eGift Cards, the perfect gift for pet parents. Available from $25 - $500. FREE delivery and the BEST customer service!",128,gift card for dogs,"Chewy eGift Card, Chewy Pet Lovers, $50",1,chewy-egift-card,True,True,False,False,True,True,True,True,318255,328,1,needs,2608.0,good,0.03,,,9,9,5.5,5,1,0,3,19.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/royal-canin-veterinary-diet-recovery/dp/325619,True,Update URL patterns so the slug reflects the primary search intent.,recovery dog food,Royal Canin Veterinary Diet Recovery RS Canned Dog & Cat Food | Chewy (Free Shipping),85,"Buy Royal Canin Veterinary Diet Recovery Ultra Soft Mousse in Sauce Wet Dog & Cat Food, 5.1-oz can, case of 24 at Chewy.com. FREE shipping and the BEST customer service!",169,recovery dog food,"Royal Canin Veterinary Diet Recovery Ultra Soft Mousse in Sauce Wet Dog & Cat Food, 5.1-oz can, case of 24",1,royal-canin-veterinary-diet-recovery,True,True,False,False,True,True,True,True,160,328,2,good,2254.0,good,0.035,,,2,2,6.5,1,1,0,0,27.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/kaytee-nutrisoft-parrot-conure-bird/dp/383333,True,Update URL patterns so the slug reflects the primary search intent.,green cheek conure pellets,"KAYTEE NutriSoft Parrot & Conure Bird Food, 3-lbs - Chewy.com",61,"Buy Kaytee NutriSoft Parrot & Conure Bird Food, 3-lbs at Chewy.com. FREE shipping and the BEST customer service!",112,green cheek conure pellets,"Kaytee NutriSoft Parrot & Conure Bird Food, 3-lbs",1,kaytee-nutrisoft-parrot-conure-bird,True,True,False,False,True,True,True,True,91,326,2,,,,,,,2,2,,0,0,0,2,1.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/zupreem-fruitblend-flavor-natural/dp/128392,True,Update URL patterns so the slug reflects the primary search intent.,zupreem bird food,"ZUPREEM FruitBlend Daily Medium Bird Food, 2-lb bag - Chewy.com",63,"Buy ZuPreem FruitBlend Daily Medium Bird Food, 2-lb bag at Chewy.com. FREE shipping and the BEST customer service!",114,zupreem bird food,"ZuPreem FruitBlend Daily Medium Bird Food, 2-lb bag",1,zupreem-fruitblend-flavor-natural,True,True,False,False,True,True,True,True,60,330,2,,,,,,,1,1,23.0,0,0,1,0,1.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/blue-buffalo-bursts-paw-licken/dp/241899,True,Update URL patterns so the slug reflects the primary search intent.,blue buffalo crunchy treats for cats,"BLUE BUFFALO Bursts with Paw-Licken Chicken Cat Treats, 12-oz tub - Chewy.com",77,"Buy Blue Buffalo Bursts with Paw-Licken Chicken Cat Treats, 12-oz tub at Chewy.com. FREE shipping and the BEST customer service!",128,blue buffalo crunchy treats for cats,"Blue Buffalo Bursts with Paw-Licken Chicken Cat Treats, 12-oz tub",1,blue-buffalo-bursts-paw-licken,True,True,False,False,True,True,True,True,200,327,2,,,,,,,1,1,14.0,0,1,0,0,1.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/greenies-feline-savory-salmon-flavor/dp/241293,True,Update URL patterns so the slug reflects the primary search intent.,cat treats greenies,"GREENIES Feline Savory Salmon Flavor Adult Natural Dental Cat Treats, 4.6-oz bag - Chewy.com",92,"Buy Greenies Feline Savory Salmon Flavor Adult Natural Dental Cat Treats, 4.6-oz bag at Chewy.com. FREE shipping and the BEST customer service!",143,cat treats greenies,"Greenies Feline Savory Salmon Flavor Adult Natural Dental Cat Treats, 4.6-oz bag",1,greenies-feline-savory-salmon-flavor,True,True,False,False,True,True,True,True,139,333,2,,,,,,,3,3,,0,0,0,3,1.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/vital-essentials-chicken-hearts/dp/793518,True,Update URL patterns so the slug reflects the primary search intent.,best freeze dried chicken cat treats,"VITAL ESSENTIALS Chicken Hearts Single Ingredient Freeze-Dried Cat Treats, 0.8-oz bag - Chewy.com",97,"Buy Vital Essentials Chicken Hearts Single Ingredient Freeze-Dried Cat Treats, 0.8-oz bag at Chewy.com. FREE shipping and the BEST customer service!",148,best freeze dried chicken cat treats,"Vital Essentials Chicken Hearts Single Ingredient Freeze-Dried Cat Treats, 0.8-oz bag",1,vital-essentials-chicken-hearts,True,True,False,False,True,True,True,True,336,325,2,good,2078.0,good,0.02,,,1,1,,0,0,0,1,3.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/virbac-cet-enzymatic-poultry-flavor/dp/41742,True,Update URL patterns so the slug reflects the primary search intent.,virbac dog toothpaste,"VIRBAC C.E.T. Enzymatic Poultry Flavor Dog & Cat Toothpaste, 70 gram - Chewy.com",80,"Buy Virbac C.E.T. Enzymatic Poultry Flavor Dog & Cat Toothpaste, 70 gram at Chewy.com. FREE shipping and the BEST customer service!",131,virbac dog toothpaste,"Virbac C.E.T. Enzymatic Poultry Flavor Dog & Cat Toothpaste, 70 gram",1,virbac-cet-enzymatic-poultry-flavor,True,True,False,False,True,True,True,True,271,331,2,good,2099.0,good,0.07,,,2,2,8.0,1,0,0,1,54.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/chew-heal-stop-worms-wormer-puppies/dp/1591798,True,Update URL patterns so the slug reflects the primary search intent.,chewy cat dewormer,"CHEW + HEAL Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle - Chewy.com",83,"Buy Chew + Heal Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle at Chewy.com. FREE shipping and the BEST customer service!",134,chewy cat dewormer,"Chew + Heal Stop The Worms Wormer for Puppies & Kittens, 4-fl oz bottle",1,chew-heal-stop-worms-wormer-puppies,True,True,False,False,True,True,True,True,49,322,2,good,2144.0,good,0.0,,,2,1,20.5,0,1,1,0,4.0
PDP,URL,URL slug does not align to main keyword,https://www.chewy.com/vets-best-chewable-tablets-hairball/dp/45141,True,Update URL patterns so the slug reflects the primary search intent.,best cat hairball remedy,"VET'S BEST Chewable Tablets Hairball Control Supplement for Cats, 60 count - Chewy.com",86,"Buy Vet's Best Chewable Tablets Hairball Control Supplement for Cats, 60 count at Chewy.com. FREE shipping and the BEST customer service!",137,best cat hairball remedy,"Vet's Best Chewable Tablets Hairball Control Supplement for Cats, 60 count",1,vets-best-chewable-tablets-hairball,True,True,False,False,True,True,True,True,91,321,2,good,2147.0,good,0.08,,,5,5,13.8,1,4,0,0,4.0
