page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/chewy-made-170606,True,Update title templates so the primary ranking phrase is naturally represented.,chewy food for dogs,Chewy Made™ | Chewy Exclusive Branded Products - Free shipping | Chewy,70,"Discover Chewy Made™: The same great products, now with a new look. For years, we’ve designed, developed, and cared for these recipes with the same love and expertise we bring to everything at Chewy.",199,chewy food for dogs,Chewy Made,1,chewy-made,True,True,False,False,True,False,False,True,318238,354,1,good,1999.0,good,0.005,,,20,19,13.08,4,6,2,8,8.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/temptations-7577,True,Update title templates so the primary ranking phrase is naturally represented.,temptations cat treats,Temptations - Free shipping | Chewy,35,Shop Chewy for low prices and the best Temptations products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,237,temptations cat treats,Temptations Our wet & dry cat food make purr-fect meals.,2,temptations,True,True,False,False,True,False,False,False,318238,357,1,good,1747.0,good,0.015,,,9,9,9.5,5,2,1,1,13.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/shop-by-cat-10508,True,Update title templates so the primary ranking phrase is naturally represented.,greenies soft chewy cat treats,Greenies for Cats - Free shipping | Chewy,41,Shop Chewy for low prices and the best Shop by Cat! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,greenies soft chewy cat treats,Greenies for Cats,1,shop-by-cat,True,True,False,False,True,False,False,False,59,326,2,good,1632.0,good,0.035,,,5,5,1.0,1,0,0,4,4.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/dreambone-8127,True,Update title templates so the primary ranking phrase is naturally represented.,dreambone dog treats,DreamBone - Free shipping | Chewy,33,Shop Chewy for low prices and the best DreamBone products! We carry a large selection and the top brands like DreamBone and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,dreambone dog treats,DreamBone,1,dreambone,True,True,False,False,True,False,False,False,298,340,2,,,,,,,2,1,8.5,2,0,0,0,1.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/woof-136430,True,Update title templates so the primary ranking phrase is naturally represented.,chewy pupsicle,Woof - Free shipping | Chewy,28,Shop Chewy for low prices and the best Woof products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,230,chewy pupsicle,Woof Where wellness meets play,2,woof,True,True,False,False,True,False,False,False,340,345,2,good,1425.0,needs,0.11,,,1,1,1.0,1,0,0,0,19.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/shop-by-dog-8901,True,Update title templates so the primary ranking phrase is naturally represented.,chewy prescription dog food,Hill's Prescription Diet for Dogs - Free shipping | Chewy,57,Shop Chewy for low prices and the best Shop by Dog! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,228,chewy prescription dog food,Hill's Prescription Diet for Dogs,1,shop-by-dog,True,True,False,False,True,False,False,False,28,364,2,,,,,,,1,1,7.0,1,0,0,0,1.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/okocat-7164,True,Update title templates so the primary ranking phrase is naturally represented.,okocat cat litter,Okocat - Free shipping | Chewy,30,Shop Chewy for low prices and the best Okocat products! We carry a large selection and the top brands like Okocat and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,222,okocat cat litter,Okocat,1,okocat,True,True,False,False,True,False,False,False,33,308,2,good,1387.0,good,0.034999999999999996,,,1,1,19.0,0,1,0,0,4.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/chuckit-6621,True,Update title templates so the primary ranking phrase is naturally represented.,chuckit! tug and toss,"Chuckit! Dog Toys - Deals & Low Prices, Free Shipping",53,Shop Chewy for low prices and the best Chuckit! products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,234,chuckit! tug and toss,Chuckit! Celebrate Fetch Season,2,chuckit,True,True,False,False,True,False,False,False,192,355,2,good,1512.0,good,0.035,,,7,7,10.0,3,3,0,1,25.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/cd-8920,True,Update title templates so the primary ranking phrase is naturally represented.,chewy prescription cat food,Hill's Prescription Diet c/d for Cats - Free shipping | Chewy,61,Shop Chewy for low prices and the best c/d products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,229,chewy prescription cat food,Hill's Prescription Diet c/d for Cats,1,cd,True,True,False,False,True,False,False,False,2,320,3,good,1448.0,good,0.03,,,1,1,25.0,0,0,1,0,4.0
Brand,Meta,Title does not align to main ranking keyword,https://www.chewy.com/brands/wd-8932,True,Update title templates so the primary ranking phrase is naturally represented.,chewy prescription cat food,Hill's Prescription Diet w/d for Cats - Free shipping | Chewy,61,Shop Chewy for low prices and the best w/d products! We carry a large selection and the top brands like American Journey and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!,229,chewy prescription cat food,Hill's Prescription Diet w/d for Cats,1,wd,True,True,False,False,True,False,False,False,2,307,3,,,,,,,1,1,28.0,0,0,1,0,1.0
