page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,Speed,CLS is not good,https://www.chewy.com/kong-squeakair-balls-packs-dog-toy/dp/177318,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.12,"KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count - Chewy.com",63,"Buy KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count at Chewy.com. FREE shipping and the BEST customer service!",114,,"KONG SqueakAir Balls Packs Dog Toy, Medium, 6 count",1,kong-squeakair-balls-packs-dog-toy,True,True,False,False,True,True,True,True,85,318,1,good,2177.0,needs,0.12,,,,,,,,,,8.0
PDP,Speed,CLS is not good,https://www.chewy.com/hills-prescription-diet-soft-baked/dp/139904,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.1,"HILL'S PRESCRIPTION DIET Soft Baked Soft & Chewy Dog Treats, 12-oz bag - Chewy.com",82,"Buy Hill's Prescription Diet Soft Baked Soft & Chewy Dog Treats, 12-oz bag at Chewy.com. FREE shipping and the BEST customer service!",133,hills prescription diet dog treats,"Hill's Prescription Diet Soft Baked Soft & Chewy Dog Treats, 12-oz bag",1,hills-prescription-diet-soft-baked,True,True,False,False,True,True,True,True,190,317,2,good,2055.0,needs,0.1,,,1,1,5.0,1,0,0,0,15.0
PDP,Speed,CLS is not good,https://www.chewy.com/fancy-feast-savory-cravings-beef/dp/658454,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.10500000000000001,"FANCY FEAST Savory Cravings Beef Flavor Limited Ingredient Soft Cat Treats, 3-oz box - Chewy.com",96,"Buy Fancy Feast Savory Cravings Beef Flavor Limited Ingredient Soft Cat Treats, 3-oz box at Chewy.com. FREE shipping and the BEST customer service!",147,,"Fancy Feast Savory Cravings Beef Flavor Limited Ingredient Soft Cat Treats, 3-oz box",1,fancy-feast-savory-cravings-beef,True,True,False,False,True,True,True,True,60,327,2,good,2171.0,needs,0.10500000000000001,,,,,,,,,,6.0
PDP,Speed,CLS is not good,https://www.chewy.com/potaroma-chew-ropes-cat-toy-3-count/dp/2064438,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.26,"POTAROMA Chew Ropes Cat Toy, 3 count - Chewy.com",48,"Buy Potaroma Chew Ropes Cat Toy, 3 count at Chewy.com. FREE shipping and the BEST customer service!",99,rope cat toys,"Potaroma Chew Ropes Cat Toy, 3 count",1,potaroma-chew-ropes-cat-toy-3-count,True,True,False,False,True,True,True,True,28,318,2,good,2108.0,poor,0.26,,,1,1,10.0,1,0,0,0,9.0
PDP,Speed,CLS is not good,https://www.chewy.com/potaroma-silvervine-stick-cat-chew/dp/2277582,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.10500000000000001,"POTAROMA Silvervine Stick Cat Chew Toys, 6 count - Chewy.com",60,"Buy Potaroma Silvervine Stick Cat Chew Toys, 6 count at Chewy.com. FREE shipping and the BEST customer service!",111,,"Potaroma Silvervine Stick Cat Chew Toys, 6 count",1,potaroma-silvervine-stick-cat-chew,True,True,False,False,True,True,True,True,124,318,2,good,2025.0,needs,0.10500000000000001,,,,,,,,,,14.0
PDP,Speed,CLS is not good,https://www.chewy.com/pet-md-aloe-vera-eucalyptus-dog-ear/dp/146683,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.10500000000000001,"PET MD Aloe Vera & Eucalyptus Dog Ear Wipes, 100 count - Chewy.com",66,"Buy Pet MD Aloe Vera & Eucalyptus Dog Ear Wipes, 100 count at Chewy.com. FREE shipping and the BEST customer service!",117,,"Pet MD Aloe Vera & Eucalyptus Dog Ear Wipes, 100 count",1,pet-md-aloe-vera-eucalyptus-dog-ear,True,True,False,False,True,True,True,True,229,329,2,good,2063.0,needs,0.10500000000000001,,,,,,,,,,6.0
PDP,Speed,CLS is not good,https://www.chewy.com/blue-buffalo-wilderness-indoor/dp/112774,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.13,"BLUE BUFFALO Wilderness Natures Evolutionary Diet Chicken High-Protein Grain-Free Adult Indoor Dry Cat Food, 11-lb bag - Chewy.com",130,"Buy Blue Buffalo Wilderness Natures Evolutionary Diet Chicken High-Protein Grain-Free Adult Indoor Dry Cat Food, 11-lb bag at Chewy.com. FREE shipping and the BEST customer service!",181,blue buffalo wilderness for cats,"Blue Buffalo Wilderness Natures Evolutionary Diet Chicken High-Protein Grain-Free Adult Indoor Dry Cat Food, 11-lb bag",1,blue-buffalo-wilderness-indoor,True,True,False,False,True,True,True,True,87,333,2,good,2448.0,needs,0.13,,,3,3,15.33,0,3,0,0,1.0
PDP,Speed,CLS is not good,https://www.chewy.com/cat-chow-indoor-hairball-healthy/dp/200464,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.105,"CAT CHOW Indoor Hairball & Healthy Weight Dry Cat Food, 15-lb bag - Chewy.com",77,"Buy Cat Chow Indoor Hairball & Healthy Weight Dry Cat Food, 15-lb bag at Chewy.com. FREE shipping and the BEST customer service!",128,,"Cat Chow Indoor Hairball & Healthy Weight Dry Cat Food, 15-lb bag",1,cat-chow-indoor-hairball-healthy,True,True,False,False,True,True,True,True,236,332,2,good,2262.0,needs,0.105,,,,,,,,,,7.0
PDP,Speed,CLS is not good,https://www.chewy.com/blue-buffalo-tastefuls-chicken-indoor/dp/32093,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.12,"BLUE BUFFALO Tastefuls Chicken & Brown Rice Recipe Adult Indoor Dry Cat Food, 15-lb bag - Chewy.com",99,"Buy Blue Buffalo Tastefuls Chicken & Brown Rice Recipe Adult Indoor Dry Cat Food, 15-lb bag at Chewy.com. FREE shipping and the BEST customer service!",150,blue buffalo tastefuls for cats,"Blue Buffalo Tastefuls Chicken & Brown Rice Recipe Adult Indoor Dry Cat Food, 15-lb bag",1,blue-buffalo-tastefuls-chicken-indoor,True,True,False,False,True,True,True,True,79,334,2,good,2480.0,needs,0.12,,,3,3,7.67,2,1,0,0,2.0
PDP,Speed,CLS is not good,https://www.chewy.com/multipet-lamb-chop-squeaky-plush-dog/dp/52999,True,Prioritize template performance work for pages with needs-improvement or poor field data.,0.26,Multipet Lamb Chop Squeaky Plush Dog Toy (Free Shipping) | Chewy,64,"Buy Multipet Lamb Chop Squeaky Plush Dog Toy, Regular at Chewy.com. FREE shipping and the BEST customer service!",112,lamb chop dog toy,"Multipet Lamb Chop Squeaky Plush Dog Toy, Regular",1,multipet-lamb-chop-squeaky-plush-dog,True,True,False,False,True,True,True,True,586,328,2,good,2007.0,poor,0.26,,,1,1,,0,0,0,1,18.0
