page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Editorial,Meta,Missing meta description,https://www.chewy.com/education/editorial-guidelines,True,Add a concise description for each eligible page.,,Editorial Guidelines | Chewy,28,,,,Editorial guidelines,1,editorial-guidelines,True,True,False,False,False,False,False,False,34,302,2,,,,,,,,,,,,,,2.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog/flea-and-tick/5-signs-your-pet-has-fleas,True,Add a concise description for each eligible page.,,5 Signs Your Pet Has Fleas | Chewy,34,,,,5 Signs Your Pet Has Fleas,1,5-signs-your-pet-has-fleas,True,False,False,False,False,False,False,False,114,319,2,,,,,,,,,,,,,,
Editorial,Meta,Missing meta description,https://www.chewy.com/education/cat/food-and-nutrition/slow-feeder-cat-bowls,True,Add a concise description for each eligible page.,,"Slow Feeder Cat Bowls: Do They Work, and How Do You Choose One? | Chewy",71,,,cat slow feeders,"Slow Feeder Cat Bowls: Do They Work, and How Do You Choose One?",1,slow-feeder-cat-bowls,True,True,False,False,False,False,False,False,166,315,2,,,,,,,2,2,16.5,0,2,0,0,14.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog/dog-seasonal-allergies,True,Add a concise description for each eligible page.,,Dog Seasonal Allergies Hub | Chewy,34,,,,Dog Seasonal Allergies,1,dog-seasonal-allergies,True,True,False,False,False,False,False,False,83,310,2,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog-breeds/basset-fauve-de-bretagne,True,Add a concise description for each eligible page.,,,,,,,,0,basset-fauve-de-bretagne,True,True,False,False,False,False,False,False,1,330,2,,,,,,,,,,,,,,15.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog-breeds/bernedoodle,True,Add a concise description for each eligible page.,,Bernedoodle Breed Information| Chewy,36,,,bernedoodle,Bernedoodle,1,bernedoodle,True,True,False,False,True,False,False,True,9,346,2,,,,,,,3,3,5.0,3,0,0,0,40.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/author/jennifer-coates,True,Add a concise description for each eligible page.,,"Jennifer Coates, DVM | Chewy",28,,,,Jennifer Coates,1,jennifer-coates,True,True,False,False,False,False,False,False,89,318,3,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/reptile-and-amphibian/bearded-dragon/do-bearded-dragons-like-to-be-held,True,Add a concise description for each eligible page.,,Do Bearded Dragons Like to Be Held? | Chewy,43,,,holding bearded dragon,Do Bearded Dragons Like to Be Held?,1,do-bearded-dragons-like-to-be-held,True,True,False,False,False,False,False,False,4,317,3,,,,,,,2,2,13.5,0,2,0,0,24.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/author/hilary-jaffe,True,Add a concise description for each eligible page.,,Hilary Jaffe | Chewy,20,,,,Hilary Jaffe,1,hilary-jaffe,True,True,False,False,False,False,False,False,17,314,3,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/author/kate-barrington,True,Add a concise description for each eligible page.,,Kate Barrington | Chewy,23,,,,Kate Barrington,1,kate-barrington,True,True,False,False,False,False,False,False,31,315,3,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/forever-loved,True,Add a concise description for each eligible page.,,Forever Loved | Chewy,21,,,what does chewy do when your pet dies,Forever Loved,1,forever-loved,True,True,False,False,False,False,False,False,7,308,3,good,1872.0,good,0.025,,,5,5,1.6,5,0,0,0,26.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/cat/health-and-wellness/how-to-help-a-constipated-cat,True,Add a concise description for each eligible page.,,How To Help a Constipated Cat | Chewy,37,,,,How To Help a Constipated Cat,1,how-to-help-a-constipated-cat,True,True,False,False,False,False,False,False,4,342,3,needs,3313.0,good,0.08,,,,,,,,,,31.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog/general/american-cocker-spaniel-vs-english-cocker-spaniel,True,Add a concise description for each eligible page.,,American Cocker Spaniel vs. English Cocker Spaniel | Chewy,58,,,,American Cocker Spaniel vs. English Cocker Spaniel,1,american-cocker-spaniel-vs-english-cocker-spaniel,True,True,False,False,False,False,False,False,3,348,3,,,,,,,,,,,,,,43.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/reptile-and-amphibian/scorpion,True,Add a concise description for each eligible page.,,Scorpion Archives | Chewy,25,,,,Scorpion,1,scorpion,True,False,False,False,False,False,False,False,1,303,4,,,,,,,,,,,,,,
Editorial,Meta,Missing meta description,https://www.chewy.com/education/author/abigail-mcgrath,True,Add a concise description for each eligible page.,,Abigail McGrath | Chewy,23,,,,Abigail Mcgrath,1,abigail-mcgrath,True,True,False,False,False,False,False,False,1,304,4,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/holiday,True,Add a concise description for each eligible page.,,Holidays With Pets Archives | Chewy,35,,,,Holidays With Pets,1,holiday,True,True,False,False,False,False,False,False,18,334,5,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/holiday/feature,True,Add a concise description for each eligible page.,,Holiday Features Archives | Chewy,33,,,chewy claus 2024,Holiday Features,1,feature,True,True,False,False,False,False,False,False,5,309,5,,,,,,,5,4,13.0,0,1,0,4,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog/general/wedding-contest,True,Add a concise description for each eligible page.,,Including Your Pet in Your Wedding? You Could Win Big! | Chewy,62,,,chewy address for wedding invitations,Including Your Pet in Your Wedding? You Could Win Big!,1,wedding-contest,True,True,False,False,False,False,False,False,2,323,5,,,,,,,3,3,2.33,3,0,0,0,2.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog/general/pet-trend-report,True,Add a concise description for each eligible page.,,Chewy's 2025 Pet Trend Report: Pets—They're Just Like Us | Chewy,64,,,trending pet products 2025,Chewy’s 2025 Pet Trend Report: Pets—They’re Just Like Us,1,pet-trend-report,True,True,False,False,False,False,False,False,2,341,5,,,,,,,5,5,13.6,2,2,1,0,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/dog/general/dog-attempts-swimming-does-not-understand-doggy-paddling,True,Add a concise description for each eligible page.,,"Dog Attempts Swimming, Does Not Understand 'Doggy Paddling' | Chewy",67,,,,"Dog Attempts Swimming, Does Not Understand ‘Doggy Paddling’",1,dog-attempts-swimming-does-not-understand-doggy-paddling,True,True,False,False,False,False,False,False,2,307,5,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/holiday/gifts,True,Add a concise description for each eligible page.,,Holiday Gifting Archives | Chewy,32,,,,Holiday Gifts,1,gifts,True,True,False,False,False,False,False,False,4,307,6,,,,,,,,,,,,,,1.0
Editorial,Meta,Missing meta description,https://www.chewy.com/education/holiday/equine,True,Add a concise description for each eligible page.,,Holiday Equine Archives | Chewy,31,,,,Holidays With Horses,1,equine,True,True,False,False,False,False,False,False,4,306,6,,,,,,,,,,,,,,
Editorial,Meta,Missing meta description,https://www.chewy.com/education/holiday/safety,True,Add a concise description for each eligible page.,,Holiday Safety Archives | Chewy,31,,,,Holiday Pet Safety,1,safety,True,True,False,False,False,False,False,False,4,310,6,,,,,,,,,,,,,,
