page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/products-by-dog-breed_s142470,True,Update URL patterns so the slug reflects the primary search intent.,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds 2026 | Chewy,49,Checkout Today's Best Products by Dog Breed Supplies. Our customers believe that these are the Best Products by Dog Breed products out there.,141,best labrador retriever puppy health and wellness products,Top Picks for Products by Dog Breeds,1,products-by-dog-breed,True,True,False,False,True,False,False,False,318249,422,1,,,,,,,4,4,18.33,1,0,2,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/small-animal-supplies_s121454,True,Update URL patterns so the slug reflects the primary search intent.,fat-tailed gerbil pet supplies,Best Small Animal Supplies 2026 | Chewy,39,Checkout Today's Best Small Animal Supplies. Our customers believe that these are the Best Small Animal products out there.,123,fat-tailed gerbil pet supplies,Best Small Animal Supplies,1,small-animal-supplies,True,True,False,False,True,False,False,False,318249,368,1,,,,,,,9,9,25.0,0,1,8,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/puppy-foods-for-maltese_s237166,True,Update URL patterns so the slug reflects the primary search intent.,best dog food for maltese shih tzu mix,Best Puppy Foods for Maltese 2026: According to Reviews | Chewy,63,Checkout Today's Best Puppy Foods for Maltese. Our customers believe that these are the Best Puppy Foods for Maltese products out there.,136,best dog food for maltese shih tzu mix,Best Puppy Food For Maltese,1,puppy-foods-for-maltese,True,True,False,False,True,False,False,False,2,335,2,,,,,,,1,1,15.0,0,1,0,0,14.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/covered-cat-beds_s112304,True,Update URL patterns so the slug reflects the primary search intent.,chewycatbeds,Best Covered Cat Beds 2026: According to Reviews | Chewy,56,Checkout Today's Best Covered Cat Beds. Our customers believe that these are the Best Covered Cat Beds products out there.,122,chewycatbeds,Best Covered Cat Bed,1,covered-cat-beds,True,True,False,False,True,False,False,False,260,336,2,,,,,,,3,3,20.0,1,0,2,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/chinchilla-toys_s128508,True,Update URL patterns so the slug reflects the primary search intent.,best chinchilla accessories and products,Best Chinchilla Toys 2026: According to Reviews | Chewy,55,Checkout Today's Best Chinchilla Toys. Our customers believe that these are the Best Chinchilla Toys products out there.,120,best chinchilla accessories and products,Best Chinchilla Toys,1,chinchilla-toys,True,True,False,False,True,False,False,False,44,333,2,,,,,,,3,2,19.0,0,2,1,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/lovebird-toys_s122934,True,Update URL patterns so the slug reflects the primary search intent.,love bird toys,Best Lovebird Toys 2026: According to Reviews | Chewy,53,Checkout Today's Best Lovebird Toys. Our customers believe that these are the Best Lovebird Toys products out there.,116,love bird toys,Best Toys For Lovebirds,1,lovebird-toys,True,True,False,False,True,False,False,False,35,328,2,,,,,,,5,5,21.4,0,2,3,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/top-entry-litter-boxes_s112480,True,Update URL patterns so the slug reflects the primary search intent.,chewy cat litter box,Best Top Entry Litter Boxes 2026: According to Reviews | Chewy,62,Checkout Today's Best Top Entry Litter Boxes. Our customers believe that these are the Best Top Entry Litter Boxes products out there.,134,chewy cat litter box,Best Top Entry Litter Box,1,top-entry-litter-boxes,True,True,False,False,True,False,False,False,13,336,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/cat-scratchers_s112280,True,Update URL patterns so the slug reflects the primary search intent.,chewy cat scratching post,Best Cat Scratchers 2026: According to Reviews | Chewy,54,Checkout Today's Best Cat Scratchers. Our customers believe that these are the Best Cat Scratchers products out there.,118,chewy cat scratching post,Best Cat Scratcher,1,cat-scratchers,True,True,False,False,True,False,False,False,11,336,2,,,,,,,4,4,6.25,4,0,0,0,4.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/catnips_s112792,True,Update URL patterns so the slug reflects the primary search intent.,best catnip and cat grass,Best Catnips 2026: According to Reviews | Chewy,47,Checkout Today's Best Catnips. Our customers believe that these are the Best Catnips products out there.,104,best catnip and cat grass,Best Catnip,1,catnips,True,True,False,False,True,False,False,False,7,336,2,,,,,,,1,1,16.0,0,1,0,0,4.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/dog-treats_s103240,True,Update URL patterns so the slug reflects the primary search intent.,dog treats with highest customer satisfaction,Best Dog Treats 2026: According to Reviews | Chewy,50,Checkout Today's Best Dog Treats. Our customers believe that these are the Best Dog Treats products out there.,110,dog treats with highest customer satisfaction,Best Dog Treats,1,dog-treats,True,True,False,False,True,False,False,True,1578,335,2,good,1610.0,good,0.01,,,13,13,10.5,5,7,0,1,2.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/dog-chew-toys_s111312,True,Update URL patterns so the slug reflects the primary search intent.,top rated dog toys treats and more by chewy,Best Dog Chew Toys 2026: According to Reviews | Chewy,53,Checkout Today's Best Dog Chew Toys. Our customers believe that these are the Best Dog Chew Toys products out there.,116,top rated dog toys treats and more by chewy,Best Chew Toys For Dogs,1,dog-chew-toys,True,True,False,False,True,False,False,False,299,335,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/cat-leashes-harnesses_s112328,True,Update URL patterns so the slug reflects the primary search intent.,best rated cat harness,Best Cat Leashes & Harnesses 2026: According to Reviews | Chewy,63,Checkout Today's Best Cat Leashes & Harnesses. Our customers believe that these are the Best Cat Leashes & Harnesses products out there.,136,best rated cat harness,Best Cat Harness And Leash,1,cat-leashes-harnesses,True,True,False,False,True,False,False,False,101,337,2,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/filters-betta-fish_s129300,True,Update URL patterns so the slug reflects the primary search intent.,filtro para acuario de betta,Best Filters for Betta Fish 2026: According to Reviews | Chewy,62,Checkout Today's Best Filters for Betta Fish. Our customers believe that these are the Best Filters for Betta Fish products out there.,134,filtro para acuario de betta,Best Filters For Betta Fish,1,filters-betta-fish,True,True,False,False,True,False,False,True,1,323,2,,,,,,,1,1,19.0,0,1,0,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/freshwater-aquarium-heaters_s129204,True,Update URL patterns so the slug reflects the primary search intent.,best heater for small fish tank,Best Freshwater Aquarium Heaters & Thermometers 2026: According to Reviews | Chewy,82,Checkout Today's Best Freshwater Aquarium Heaters & Thermometers. Our customers believe that these are the Best Freshwater Aquarium Heaters & Thermometers products out there.,174,best heater for small fish tank,Best Freshwater Aquarium Heater,1,freshwater-aquarium-heaters,True,True,False,False,True,False,False,False,28,336,2,,,,,,,7,7,31.0,0,0,3,4,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/frog-tanks-enclosures_s123142,True,Update URL patterns so the slug reflects the primary search intent.,new frog and amphibian tanks and terrariums,Best Frog Tanks & Enclosures 2026: According to Reviews | Chewy,63,Checkout Today's Best Frog Tanks & Enclosures. Our customers believe that these are the Best Frog Tanks & Enclosures products out there.,136,new frog and amphibian tanks and terrariums,Best Frog Enclosure,1,frog-tanks-enclosures,True,True,False,False,True,False,False,False,79,328,2,,,,,,,1,1,28.0,0,0,1,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/turtle-basking-light_s123190,True,Update URL patterns so the slug reflects the primary search intent.,turtle heat lamps,Best Turtle Basking Light 2026: According to Reviews | Chewy,60,Checkout Today's Best Turtle Basking Light. Our customers believe that these are the Best Turtle Basking Light products out there.,130,turtle heat lamps,Best Turtle Basking Lights,1,turtle-basking-light,True,True,False,False,True,False,False,True,6,336,2,,,,,,,16,16,12.67,6,8,1,1,2.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/liver-supplements-dogs_s111408,True,Update URL patterns so the slug reflects the primary search intent.,zesty paws heart & liver,Best Liver Supplements for Dogs 2026: According to Reviews | Chewy,66,Checkout Today's Best Liver Supplements for Dogs. Our customers believe that these are the Best Liver Supplements for Dogs products out there.,142,zesty paws heart & liver,Best Liver Supplements For Dogs,1,liver-supplements-dogs,True,True,False,False,True,False,False,False,20,336,3,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/cat-litter-boxes_s112104,True,Update URL patterns so the slug reflects the primary search intent.,litter box reviews,Best Cat Litter Boxes 2026: According to Reviews | Chewy,56,Checkout Today's Best Cat Litter Boxes. Our customers believe that these are the Best Cat Litter Boxes products out there.,122,litter box reviews,Best Cat Litter Boxes,1,cat-litter-boxes,True,True,False,False,True,False,False,False,93,336,3,,,,,,,6,6,18.75,0,3,1,2,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/dog-training-collars_s104160,True,Update URL patterns so the slug reflects the primary search intent.,collares de adiestramiento para perros,Best Dog Training Collars 2026: According to Reviews | Chewy,60,Checkout Today's Best Dog Training Collars. Our customers believe that these are the Best Dog Training Collars products out there.,130,collares de adiestramiento para perros,Best Dog Training Collars,1,dog-training-collars,True,True,False,False,True,False,False,True,248,336,3,,,,,,,2,2,27.0,0,0,1,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/electric-dog-training-collars_s109440,True,Update URL patterns so the slug reflects the primary search intent.,collares electronicos para perros,Best Electric Dog Training Collars 2026: According to Reviews | Chewy,69,Checkout Today's Best Electric Dog Training Collars. Our customers believe that these are the Best Electric Dog Training Collars products out there.,148,collares electronicos para perros,Best Electric Dog Training Collars,1,electric-dog-training-collars,True,True,False,False,True,False,False,True,114,336,3,,,,,,,1,1,27.0,0,0,1,0,2.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/dog-multivitamins_s111376,True,Update URL patterns so the slug reflects the primary search intent.,liquid dog vitamins supplements,Best Dog Multivitamins 2026: According to Reviews | Chewy,57,Checkout Today's Best Dog Multivitamins. Our customers believe that these are the Best Dog Multivitamins products out there.,124,liquid dog vitamins supplements,Best Multivitamins For Dogs,1,dog-multivitamins,True,True,False,False,True,False,False,True,36,336,3,,,,,,,4,4,,0,0,0,4,3.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/rawhide-alternatives-dogs_s108968,True,Update URL patterns so the slug reflects the primary search intent.,deals on rawhide free dog chews,Best Rawhide Alternatives for Dogs 2026: According to Reviews | Chewy,69,Checkout Today's Best Rawhide Alternatives for Dogs. Our customers believe that these are the Best Rawhide Alternatives for Dogs products out there.,148,deals on rawhide free dog chews,Best Rawhide Alternatives For Dogs,1,rawhide-alternatives-dogs,True,True,False,False,True,False,False,True,85,337,3,,,,,,,2,2,27.0,0,0,1,1,5.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/cat-conditioners_s113872,True,Update URL patterns so the slug reflects the primary search intent.,condicionador para gatos,Best Cat Conditioners 2026: According to Reviews | Chewy,56,Checkout Today's Best Cat Conditioners. Our customers believe that these are the Best Cat Conditioners products out there.,122,condicionador para gatos,Best Cat Conditioner,1,cat-conditioners,True,True,False,False,True,False,False,False,6,336,3,,,,,,,2,2,20.0,0,1,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/rabbit-hutches_s129428,True,Update URL patterns so the slug reflects the primary search intent.,hutches for your new pet rabbit,Best Rabbit Hutches 2026: According to Reviews | Chewy,54,Checkout Today's Best Rabbit Hutches. Our customers believe that these are the Best Rabbit Hutches products out there.,118,hutches for your new pet rabbit,Best Rabbit Hutches,1,rabbit-hutches,True,True,False,False,True,False,False,True,18,337,3,,,,,,,1,1,,0,0,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/cat-costumes_s112992,True,Update URL patterns so the slug reflects the primary search intent.,deals on trending cat costumes,Best Cat Costumes 2026: According to Reviews | Chewy,52,Checkout Today's Best Cat Costumes. Our customers believe that these are the Best Cat Costumes products out there.,114,deals on trending cat costumes,Best Cat Costumes,1,cat-costumes,True,True,False,False,True,False,False,False,42,337,3,,,,,,,2,2,,0,0,0,2,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/himalayan-dog-chews_s108960,True,Update URL patterns so the slug reflects the primary search intent.,best brand of yak chews,Best Himalayan Dog Chews 2026: According to Reviews | Chewy,59,Checkout Today's Best Himalayan Dog Chews. Our customers believe that these are the Best Himalayan Dog Chews products out there.,128,best brand of yak chews,Best Yak Chews For Dogs,1,himalayan-dog-chews,True,True,False,False,True,False,False,False,32,337,3,,,,,,,2,2,7.5,2,0,0,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/hamster-habitats_s129348,True,Update URL patterns so the slug reflects the primary search intent.,wood hamster cages,Best Hamster Habitats 2026: According to Reviews | Chewy,56,Checkout Today's Best Hamster Habitats. Our customers believe that these are the Best Hamster Habitats products out there.,122,wood hamster cages,Best Hamster Habitats,1,hamster-habitats,True,True,False,False,True,False,False,False,18,336,3,,,,,,,2,2,23.0,0,1,1,0,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/dog-dental-chews_s109136,True,Update URL patterns so the slug reflects the primary search intent.,pedigree dentastix vs greenies,Best Dog Dental Chews 2026: According to Reviews | Chewy,56,Checkout Today's Best Dog Dental Chews. Our customers believe that these are the Best Dog Dental Chews products out there.,122,pedigree dentastix vs greenies,Best Dental Chews for Dogs,1,dog-dental-chews,True,True,False,False,True,False,False,False,170,337,3,,,,,,,2,2,12.0,0,1,0,1,1.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/dog-dental-supplements_s109128,True,Update URL patterns so the slug reflects the primary search intent.,what is the best dental powder for dogs,Best Dog Dental Supplements 2026: According to Reviews | Chewy,62,Checkout Today's Best Dog Dental Supplements. Our customers believe that these are the Best Dog Dental Supplements products out there.,134,what is the best dental powder for dogs,Best Dog Dental Supplements,1,dog-dental-supplements,True,True,False,False,True,False,False,True,170,337,3,,,,,,,4,4,26.0,0,0,2,2,2.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/senior-dog-foods_s157038,True,Update URL patterns so the slug reflects the primary search intent.,what is the best senior dog food for small breeds,Best Senior Dog Foods 2026: According to Reviews | Chewy,56,Checkout Today's Best Senior Dog Foods. Our customers believe that these are the Best Senior Dog Foods products out there.,122,what is the best senior dog food for small breeds,Best Dog Food For Senior Dogs,1,senior-dog-foods,True,True,False,False,True,False,False,True,7,335,3,,,,,,,3,3,12.33,1,2,0,0,4.0
Top Picks,URL,URL slug does not align to main keyword,https://www.chewy.com/best/cat-uti-bladder-treatments_s113752,True,Update URL patterns so the slug reflects the primary search intent.,walmart best over the counter cat uti medicine,Best Cat UTI & Bladder Treatments 2026: According to Reviews | Chewy,68,Checkout Today's Best Cat UTI & Bladder Treatments. Our customers believe that these are the Best Cat UTI & Bladder Treatments products out there.,146,walmart best over the counter cat uti medicine,Best Cat UTI & Bladder Treatments,1,cat-uti-bladder-treatments,True,True,False,False,True,False,False,False,8,332,3,,,,,,,1,1,14.0,0,1,0,0,1.0
