page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/health-pharmacy-372,True,Update title templates so the primary ranking phrase is naturally represented.,revival dog supplies,"Dog Healthcare: Supplements, Dental & More | Chewy",50,"Shop Chewy for low prices and the best dog dental and healthcare! We have a large selection of dental healthcare supplies like supplements, dental treats, prescription diets, ear/eye care, & more. You can take care of your pup from the tip of their nose to the tip of their tail at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service!",354,revival dog supplies,Dog Health & Pharmacy,1,health-pharmacy,True,True,False,False,True,False,False,True,318253,383,1,needs,3233.0,good,0.015,,,66,64,17.51,13,25,27,1,35.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/digestive-health-probiotics-1565,True,Update title templates so the primary ranking phrase is naturally represented.,probiotics for dogs,Dog Probiotic Supplements & Chews: Digestion Support | Chewy,60,"Shop Chewy for low prices and the best probiotics for dogs and digestive health products! Whether your dog has a sensitive stomach or is going through a digestive issue, treating your pup couldn't be easier. With a variety of probiotic toppers, soft chews, and supplements, we've got you covered at Chewy.com. *FREE* shipping on orders $49+ and the BEST customer service.",371,probiotics for dogs,Digestive Health Supplements & Probiotics for Dogs,1,digestive-health-probiotics,True,True,False,False,True,False,False,True,318253,371,1,good,1871.0,good,0.05,,,30,29,8.03,24,3,3,0,45.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/heartworm-prevention-dewormers-for-dogs-2652,True,Update title templates so the primary ranking phrase is naturally represented.,heartworm prevention and dewormers for dogs,Dog Dewormer: Medication for Sm to Large Dogs (Free Shipping) | Chewy,69,"Shop Chewy for low prices on dewormers for dogs. We carry a wide selection of prescription and non-prescription worm medicine for tapeworms, roundworms, hookworms, whipworms and more. *FREE* shipping on orders $49+ and the BEST customer service!",245,heartworm prevention and dewormers for dogs,Heartworm Prevention & Dewormers for Dogs,1,heartworm-prevention-dewormers-for-dogs,True,True,False,False,True,False,False,True,318253,359,1,good,1922.0,good,0.055,,,6,6,7.2,4,1,0,1,27.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/puzzle-toys-games-2335,True,Update title templates so the primary ranking phrase is naturally represented.,puzzles and games for dogs,Dog Puzzle Toys & Games: Low Prices (Free Shipping) | Chewy,59,Shop Chewy for low prices on the best dog puzzle toys and games. We carry a wide selection of dog puzzle toys and games that will keep your pup engaged and can help with training. *FREE* shipping on orders $49+ and the BEST customer service!,241,puzzles and games for dogs,Dog Puzzles,1,puzzle-toys-games,True,True,False,False,True,False,False,True,318253,364,1,good,1643.0,good,0.09,,,22,22,5.68,17,0,2,3,106.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/dog-potty-cleaning-and-training-supplies-351,True,Update title templates so the primary ranking phrase is naturally represented.,best large breed puppy potty and cleaning supplies,"Best Dog Potty Training, Cleaning & Products (Free Shipping) | Chewy",68,"Shop Chewy for low prices and the best dog cleaning products and dog potty products! Whether it's a new puppy, an excitable adolescent, or a senior with incontinence, you'll be prepared shopping from our wide variety of dog cleaning and potty products. *FREE* shipping on orders $49+ and the BEST customer service.",314,best large breed puppy potty and cleaning supplies,Dog Cleaning & Potty Supplies,1,dog-potty-cleaning-and-training-supplies,True,True,False,False,True,False,False,True,318253,376,1,,,,,,,9,9,8.0,7,2,0,0,1.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/technology-products-for-cats-8311,True,Update title templates so the primary ranking phrase is naturally represented.,best cat tech gadgets,Cat Technology Products: Cameras & GPS (Free Shipping) | Chewy,62,"Shop Chewy for low prices and the best Cat Tech & Smart Home! We carry a large selection and the top brands like Nordic Pure, PetSafe, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",243,best cat tech gadgets,Cat Tech & Smart Home Devices,1,technology-products-for-cats,True,True,False,False,True,False,False,True,318253,362,1,,,,,,,2,2,17.5,0,1,1,0,1.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/cat-health-tests-2690,True,Update title templates so the primary ranking phrase is naturally represented.,cat health tests,"Cat Medical Test Kits: Top Brands, Low Prices (Free Shipping) | Chewy",69,"Shop Chewy for low prices and the best Test Kits! We carry a large selection and the top brands like PetTest, CheckUp, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",227,cat health tests,Cat Health Tests,1,cat-health-tests,True,True,False,False,True,False,False,False,318253,354,1,good,1564.0,good,0.03,,,5,5,11.2,3,1,1,0,1.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/horse-fly-and-insect-control-1694,True,Update title templates so the primary ranking phrase is naturally represented.,spray for flies on horses,Horse Fly Control | Chewy,25,"Shop Chewy for low prices and the horse pest and insect control supplies. Chewy has top-rated products from the best brands including tick removal, horse fly-repellent sprays & traps and more. *FREE* shipping on orders $49+ and the BEST customer service!",254,spray for flies on horses,Horse Fly & Insect Control,1,horse-fly-and-insect-control,True,True,False,False,True,False,False,True,318253,369,1,good,2010.0,good,0.025,,,18,17,21.78,0,6,12,0,6.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/wildlife-supplies-139606,True,Update title templates so the primary ranking phrase is naturally represented.,wildlife supplies birdseed beekeeping squirrel food and more,Wildlife Supplies | Chewy,25,"Shop Chewy for low prices and the best Wild Bird and Wildlife Supplies! We carry a large selection and the top brands like Polly's Pet Products, Kingsyard, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",264,wildlife supplies birdseed beekeeping squirrel food and more,Wild Bird and Wildlife Supplies,1,wildlife-supplies,True,True,False,False,True,False,False,True,318253,367,1,,,,,,,3,3,16.5,0,2,0,1,1.0
Browse,Meta,Title does not align to main ranking keyword,https://www.chewy.com/b/wild-bird-seed-11893,True,Update title templates so the primary ranking phrase is naturally represented.,birdseed,Wild Bird Seed - Bird Seeds for Wild Birds | Chewy,50,"Shop Chewy for low prices and the best Birdseed products! We carry a large selection and the top brands like Kaytee, Bird Pro, and more. Find everything you need in one place. FREE shipping on orders $49+ and the BEST customer service!",235,birdseed,Wild Bird Seed,1,wild-bird-seed,True,True,False,False,True,False,False,True,318253,356,1,good,1683.0,needs,0.2,,,3,3,11.0,1,1,0,1,7.0
