page_type,category,issue,normalized_url,matched_botify,recommendation,evidence_value,title,title_length,meta_description,meta_description_length,main_keyword,h1,h1_count,url_slug,canonical_points_to_self,in_sitemaps,noindex,nofollow,breadcrumb_exists,product_exists,offer_exists,faq_exists,unique_inlinks,unique_outlinks,depth,lcp_status,lcp_value,cls_status,cls_value,inp_status,inp_value,ranking_keyword_rows,distinct_keywords,avg_current_rank,top10_keywords,quick_win_11_20_keywords,striking_distance_21_50_keywords,lost_or_unranked_keywords,botify_audience_keywords_to_90pct
PDP,H1,Multiple H1s present,https://www.chewy.com/royal-canin-breed-health-nutrition/dp/33866,True,Keep one primary H1 and move secondary headings to H2/H3.,"Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food, 10-lb bag Coat Health Satisfies Fussy Appetite Early Aging Support Exclusive Kibble Design","ROYAL CANIN Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food, 10-lb bag - Chewy.com",94,"Buy Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food, 10-lb bag at Chewy.com. FREE shipping and the BEST customer service!",145,,"Royal Canin Breed Health Nutrition Yorkshire Terrier Adult Dry Dog Food, 10-lb bag Coat Health Satisfies Fussy Appetite Early Aging Support Exclusive Kibble Design",5,royal-canin-breed-health-nutrition,True,True,False,False,True,True,True,True,124,329,2,good,2388.0,good,0.05,,,,,,,,,,1.0
PDP,H1,Multiple H1s present,https://www.chewy.com/natures-miracle-cat-litter-box/dp/1075390,True,Keep one primary H1 and move secondary headings to H2/H3.,"Nature's Miracle Cat Litter Box Scrubbing Wipes, 30 count Tough on Urine & Feces Odors","NATURE'S MIRACLE Cat Litter Box Scrubbing Wipes, 30 count - Chewy.com",69,"Buy Nature's Miracle Cat Litter Box Scrubbing Wipes, 30 count at Chewy.com. FREE shipping and the BEST customer service!",120,,"Nature's Miracle Cat Litter Box Scrubbing Wipes, 30 count Tough on Urine & Feces Odors",2,natures-miracle-cat-litter-box,True,True,False,False,True,True,True,True,293,319,2,good,1813.0,good,0.04,,,,,,,,,,4.0
PDP,H1,Multiple H1s present,https://www.chewy.com/chew-heal-antibacterial-antifungal/dp/2054622,True,Keep one primary H1 and move secondary headings to H2/H3.,"Chew + Heal Antibacterial & Antifungal Chlorhexidine & Ketoconazole Dog & Cat Grooming Wipes, 50 count A Supplement for Every Need Rich Ingredients & Effective Formulas Always Made in the USA Made to Maximize Health & Happiness","CHEW + HEAL Antibacterial & Antifungal Chlorhexidine & Ketoconazole Dog & Cat Grooming Wipes, 50 count - Chewy.com",114,"Buy Chew + Heal Antibacterial & Antifungal Chlorhexidine & Ketoconazole Dog & Cat Grooming Wipes, 50 count at Chewy.com. FREE shipping and the BEST customer service!",165,,"Chew + Heal Antibacterial & Antifungal Chlorhexidine & Ketoconazole Dog & Cat Grooming Wipes, 50 count A Supplement for Every Need Rich Ingredients & Effective Formulas Always Made in the USA Made to Maximize Health & Happiness",5,chew-heal-antibacterial-antifungal,True,True,False,False,True,True,True,True,211,322,2,good,2107.0,good,0.0,,,,,,,,,,2.0
PDP,H1,Multiple H1s present,https://www.chewy.com/furminator-long-hair-dog-deshedding/dp/269735,True,Keep one primary H1 and move secondary headings to H2/H3.,"FURminator Long Hair Dog Deshedding Tool, Green, Small BRUSH DAILY DeSHED WEEKLY BATHE MONTHLY MAINTAIN AS NEEDED","FURMINATOR Long Hair Dog Deshedding Tool, Green, Small - Chewy.com",66,"Buy FURminator Long Hair Dog Deshedding Tool, Green, Small at Chewy.com. FREE shipping and the BEST customer service!",117,,"FURminator Long Hair Dog Deshedding Tool, Green, Small BRUSH DAILY DeSHED WEEKLY BATHE MONTHLY MAINTAIN AS NEEDED",5,furminator-long-hair-dog-deshedding,True,True,False,False,True,True,True,True,21,330,2,,,,,,,,,,,,,,1.0
PDP,H1,Multiple H1s present,https://www.chewy.com/tidy-cats-glade-tough-scented/dp/51866,True,Keep one primary H1 and move secondary headings to H2/H3.,"Tidy Cats Glade Clear Springs Scented Clumping Cat Litter, 35-lb pail 90% Less Plastic","TIDY CATS Glade Clear Springs Scented Clumping Cat Litter, 35-lb pail - Chewy.com",81,"Buy Tidy Cats Glade Clear Springs Scented Clumping Cat Litter, 35-lb pail at Chewy.com. FREE shipping and the BEST customer service!",132,tidy cat litter with glade,"Tidy Cats Glade Clear Springs Scented Clumping Cat Litter, 35-lb pail 90% Less Plastic",2,tidy-cats-glade-tough-scented,True,True,False,False,True,True,True,True,39,332,2,,,,,,,2,1,,0,0,0,2,1.0
PDP,H1,Multiple H1s present,https://www.chewy.com/natures-miracle-premium-scented/dp/191395,True,Keep one primary H1 and move secondary headings to H2/H3.,"Nature's Miracle Premium Scented Clumping Corn Cat Litter, 18-lb bag Tough on Urine & Feces Odors","NATURE'S MIRACLE Premium Scented Clumping Corn Cat Litter, 18-lb bag - Chewy.com",80,"Buy Nature's Miracle Premium Scented Clumping Corn Cat Litter, 18-lb bag at Chewy.com. FREE shipping and the BEST customer service!",131,,"Nature's Miracle Premium Scented Clumping Corn Cat Litter, 18-lb bag Tough on Urine & Feces Odors",2,natures-miracle-premium-scented,True,True,False,False,True,True,True,True,75,331,2,,,,,,,,,,,,,,1.0
PDP,H1,Multiple H1s present,https://www.chewy.com/tidy-cats-instant-action-scented/dp/105875,True,Keep one primary H1 and move secondary headings to H2/H3.,"Tidy Cats Instant Action Scented Clumping Cat Litter, 35-lb pail 90% Less Plastic","TIDY CATS Instant Action Scented Clumping Cat Litter, 35-lb pail - Chewy.com",76,"Buy Tidy Cats Instant Action Scented Clumping Cat Litter, 35-lb pail at Chewy.com. FREE shipping and the BEST customer service!",127,,"Tidy Cats Instant Action Scented Clumping Cat Litter, 35-lb pail 90% Less Plastic",2,tidy-cats-instant-action-scented,True,True,False,False,True,True,True,True,64,327,2,,,,,,,,,,,,,,1.0
PDP,H1,Multiple H1s present,https://www.chewy.com/furminator-long-hair-dog-deshedding/dp/269737,True,Keep one primary H1 and move secondary headings to H2/H3.,"FURminator Long Hair Dog Deshedding Tool, Blue, Large BRUSH DAILY DeSHED WEEKLY BATHE MONTHLY MAINTAIN AS NEEDED","FURMINATOR Long Hair Dog Deshedding Tool, Blue, Large - Chewy.com",65,"Buy FURminator Long Hair Dog Deshedding Tool, Blue, Large at Chewy.com. FREE shipping and the BEST customer service!",116,,"FURminator Long Hair Dog Deshedding Tool, Blue, Large BRUSH DAILY DeSHED WEEKLY BATHE MONTHLY MAINTAIN AS NEEDED",5,furminator-long-hair-dog-deshedding,True,True,False,False,True,True,True,True,131,330,2,good,2000.0,good,0.01,,,,,,,,,,1.0
PDP,H1,Multiple H1s present,https://www.chewy.com/furminator-short-hair-dog-deshedding/dp/269733,True,Keep one primary H1 and move secondary headings to H2/H3.,"FURminator Short Hair Dog Deshedding Tool, Blue, Large BRUSH DAILY DeSHED WEEKLY BATHE MONTHLY MAINTAIN AS NEEDED","FURMINATOR Short Hair Dog Deshedding Tool, Blue, Large - Chewy.com",66,"Buy FURminator Short Hair Dog Deshedding Tool, Blue, Large at Chewy.com. FREE shipping and the BEST customer service!",117,,"FURminator Short Hair Dog Deshedding Tool, Blue, Large BRUSH DAILY DeSHED WEEKLY BATHE MONTHLY MAINTAIN AS NEEDED",5,furminator-short-hair-dog-deshedding,True,True,False,False,True,True,True,True,71,329,2,,,,,,,,,,,,,,2.0
PDP,H1,Multiple H1s present,https://www.chewy.com/wisdom-panel-essential-breed/dp/249943,True,Keep one primary H1 and move secondary headings to H2/H3.,Wisdom Panel Essential Breed Identification DNA Test for Dogs Get A Life-Saving Health Test Trace Ancestry Activate Collect a Sample,WISDOM PANEL Essential Breed Identification DNA Test for Dogs - Chewy.com,73,Buy Wisdom Panel Essential Breed Identification DNA Test for Dogs at Chewy.com. FREE shipping and the BEST customer service!,124,wisdom panel,Wisdom Panel Essential Breed Identification DNA Test for Dogs Get A Life-Saving Health Test Trace Ancestry Activate Collect a Sample,5,wisdom-panel-essential-breed,True,True,False,False,True,True,True,True,74,329,2,good,2170.0,good,0.01,,,5,3,,0,0,0,5,6.0
