normalized_url,page_type,matched_botify,keyword_rows,distinct_ranking_keywords,current_ranked_keywords,lost_or_unranked_keywords,avg_current_rank,top3_keywords,top10_keywords,top20_keywords,top50_keywords,top100_keywords,ranking_keyword_score,keywords_not_top10,quick_win_11_20_keywords,striking_distance_21_50_keywords,botify_audience_keywords_to_90pct,ranking_potential_score,main_keyword,title_matches_main_keyword,meta_matches_main_keyword,h1_matches_main_keyword,url_matches_main_keyword,keyword_groups_top
https://careers.chewy.com/,Other,False,40,38,26,14,16.04,1,5,20,26,26,41.4,35,15,6,,56.4,chewy careers,,,,,Customer Help Center - Focused Keywords; Customer Help Center; 1 - Chewy Branded KWs; N/A; Chewy Login
https://careers.chewy.com/us/en/belton-missouri-warehouse-and-fulfillment-center-jobs,Other,False,1,1,1,0,22.0,0,0,0,1,1,43.8,1,0,1,,60.0,what are chewy's customer service hours?,,,,,Customer Help Center
https://careers.chewy.com/us/en/c/customer-service-jobs,Other,False,52,49,46,6,10.22,2,26,45,46,46,68.5,26,19,1,,34.9,customer service chewy,,,,,Customer Help Center - Focused Keywords; 1 - Chewy Branded KWs; Customer Help Center
https://careers.chewy.com/us/en/c/customer-service-jobs/referrals/home,Other,False,2,2,0,2,,0,0,0,0,0,0,2,0,0,,55.0,customer service chewy,,,,,Customer Help Center - Focused Keywords
https://careers.chewy.com/us/en/c/fulfillment-center-operations-jobs,Other,False,1,1,1,0,26.0,0,0,0,1,1,43.8,1,0,1,,60.0,what are chewy's customer service hours?,,,,,Customer Help Center
https://careers.chewy.com/us/en/c/healthcare-pharmacy-jobs,Other,False,1,1,1,0,18.0,0,0,1,1,1,62.5,1,1,0,,75.0,how can i reach a pharmacist at chewy pharmacy?,,,,,Customer Help Center
https://careers.chewy.com/us/en/c/marketing-communications-jobs,Other,False,1,1,1,0,1.0,1,1,1,1,1,100,0,0,0,,0.0,chewy marketing,,,,,N/A
https://careers.chewy.com/us/en/cs-team-member-stories,Other,False,1,1,1,0,18.0,0,0,1,1,1,62.5,1,1,0,,75.0,chewy phone number to talk to a person 24/7,,,,,Customer Help Center - Focused Keywords
https://careers.chewy.com/us/en/customer-service-career-support,Other,False,48,48,43,5,12.84,0,7,43,43,43,59.8,41,36,0,,62.0,chewy customer service,,,,,Customer Help Center - Focused Keywords; 1 - Chewy Branded KWs; Customer Help Center
https://careers.chewy.com/us/en/customer-service-jobs-phoenix-arizona,Other,False,2,2,2,0,21.5,0,0,1,2,2,53.1,2,1,1,,67.5,customer service chewy,,,,,Customer Help Center - Focused Keywords
https://careers.chewy.com/us/en/customer-service-jobs-richardson-texas,Other,False,4,4,2,2,17.0,0,0,2,2,2,31.2,4,2,0,,65.0,chewy customer service hours,,,,,Customer Help Center - Focused Keywords
https://careers.chewy.com/us/en/customer-service-representative-growth-opportunities,Other,False,40,38,34,6,14.82,0,5,33,34,34,55.9,35,28,1,,62.2,customer service chewy,,,,,Customer Help Center - Focused Keywords; 1 - Chewy Branded KWs; Customer Help Center
https://careers.chewy.com/us/en/customerserviceroles-hollywood,Other,False,23,23,3,20,10.0,0,2,3,3,3,10.4,21,1,0,,51.1,customer service chewy,,,,,Customer Help Center - Focused Keywords; 1 - Chewy Branded KWs; Customer Help Center
https://careers.chewy.com/us/en/customerserviceroles-texas,Other,False,4,4,2,2,14.5,0,0,2,2,2,31.2,4,2,0,,65.0,chewy customer service,,,,,Customer Help Center - Focused Keywords; 1 - Chewy Branded KWs
https://careers.chewy.com/us/en/dallas-texas-pharmacy-customer-service-and-fulfillment-center-jobs,Other,False,1,1,1,0,7.0,0,1,1,1,1,88.8,0,0,0,,0.0,how can i reach a pharmacist at chewy pharmacy?,,,,,Customer Help Center
https://careers.chewy.com/us/en/fc-benefits,Other,False,1,1,1,0,27.0,0,0,0,1,1,43.8,1,0,1,,60.0,how does chewy work,,,,,Customer Help Center - Focused Keywords
